Date;ner_gt;omas_mn;emision
1/01/1900;3.531477903;;
1/02/1990;3.785756607;;
1/03/1990;3.892523871;;
1/01/1900;4.194534667;;
1/02/1990;4.284805;;
1/03/1990;4.295041;;
1/01/1900;4.263055161;;
1/02/1990;4.370408226;;
1/03/1990;5.594498667;;
1/01/1900;5.323008065;;
1/02/1990;4.991673833;;
1/03/1990;4.966264032;;
1/01/1991;5.019033065;;
1/02/1991;5.071541429;;
1/03/1991;5.059009194;;
1/04/1991;4.999821167;;
1/05/1991;4.951517258;;
1/06/1991;4.926439;;
1/07/1991;4.980521129;;
1/08/1991;5.025606613;;
1/09/1991;5.005979667;;
1/10/1991;5.084910161;;
1/11/1991;5.083885167;;
1/12/1991;5.056358226;;
1/01/1992;5.076578871;;
1/02/1992;5.151932586;;
1/03/1992;5.137625161;;
1/04/1992;5.058671333;;
1/05/1992;5.007433871;;
1/06/1992;5.083439167;;
1/07/1992;5.151700323;;
1/08/1992;5.226264839;;
1/09/1992;5.293535;;
1/10/1992;5.312397097;;
1/11/1992;5.294434167;;
1/12/1992;5.323835484;;
1/01/1993;5.281194516;;
1/02/1993;5.3538575;;
1/03/1993;5.427353871;;
1/04/1993;5.489545;;
1/05/1993;5.553789355;;
1/06/1993;5.633595;;
1/07/1993;5.696974839;;
1/08/1993;5.767757097;;
1/09/1993;5.83962;;
1/10/1993;5.859805806;;
1/11/1993;5.852102833;;
1/12/1993;5.788883226;;
1/01/1994;5.852620161;;
1/02/1994;5.854250179;;
1/03/1994;5.828304677;;
1/04/1994;5.796611833;;
1/05/1994;5.751115323;;
1/06/1994;5.734101667;;
1/07/1994;5.674376774;;
1/08/1994;5.654950323;;
1/09/1994;5.799663667;;
1/10/1994;5.783126129;;
1/11/1994;5.7566465;;
1/12/1994;5.640704194;;
1/01/1995;5.74;3091.2;3912.6
1/02/1995;5.72;2770.9;3981.9
1/03/1995;5.69;2915.4;4000.8
1/04/1995;5.73;2548;3955.2
1/05/1995;5.74;2713.5;3805
1/06/1995;5.76;2763.2;3791.4
1/07/1995;5.77;3231.4;3873.3
1/08/1995;5.81;3599.3;3762.7
1/09/1995;5.89;3747.1;3752.2
1/10/1995;5.96;3449;3841.6
1/11/1995;6;3515.58;3952
1/12/1995;5.93;3338.5;4459
1/01/1996;6.1;3954.9;4139.8
1/02/1996;6.17;3905.4;4171.5
1/03/1996;6.18;3615.26;4227
1/04/1996;6.14;3919.6;4112.6
1/05/1996;6.09;3876.2;3995.5
1/06/1996;6.13;4244.3;3989
1/07/1996;6.1;4250.2;4054.6
1/08/1996;6.07;4635.3;3923.9
