, cpi,cpi_total,cpi_star,i,s,s_1,itcer,I_a,I_p,I_star,emision_n,m1_n,m2_n,credito_n,ingtrib_n,de_us,di_n,fao,lincred_n,prem
.status,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
.name,IPC de Guatemala,IPC de Guatemala,CPI for All Urban Consumers (CPI-U),Tasa de Interés Líder de Polítca Monetaria,Tipo de Cambio Nominal,Tipo de Cambio Nominal Rezagado un Trimestre,Índice de Tipo de Cambio Efectivo Real,Tasa de Interés Activa,Tasa de Interés Pasiva,Tasas de Interés LIBOR a un año plazo,Emisión Monetaria,Medio Circulante,Medios de Pago Totales,Crédito Bancario al Sector Privado,Ingresos Tributarios,Deuda Externa en Dólares,Deuda Interna,Índice de Precios de Alimentos,Líneas de Crédito Provenientes del Extranjero,Prima por Riesgo País
.src_hist,INE,INE,U.S. Bureau Of Labor Statistics,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Departamento de Análisis Macroeconómico y Pronóstico,Banco de Guatemala,Banco de Guatemala,MoneyCafe,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Ministerio de Finanzas - Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,FAO,Departamento de Análisis Macroeconómico y Pronóstico,Bloomberg
.src_hist_mmdate,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04
.src_anch,,,,,,,,,,,,,,,,,,,,
.src_anch_mmdate,,,,,,,,,,,,,,,,,,,,
.endhist,2022M04,2022M04,2022M04,2022M04,2022M04,2022M01,2022M03,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M03,2022M03,2022M03,2022M04,2022M04,2022M04
2009M01,94.75244435,94.75244435,211.143,7.227272727,7.86,8.09,91.16874978,13.91,5.5,1.975,18124.7,45050.5,103994.8,87340.8,3071.4,4356,26646.3,86.42134842,1471.091531,5.41215
2009M02,94.18556272,94.18556272,212.193,6.95,7.95,8.1,89.21245632,13.95,5.55,2.11938,17952.4,44462.8,104516,87309.4,2047.4,4330.4,27169.7,84.15598266,1401.338748,4.748578947
2009M03,93.95152902,93.95152902,212.709,6.454545455,8.08,8.13,87.3403297,13.83,5.6,1.97188,18084.7,43957.9,105644.6,87431,2777.9,4649.5,27362.5,84.0151391,1386.653279,4.686454545
2009M04,94.02,94.02,213.24,6.113636364,8.09,8.18,87.03455119,13.85,5.64,1.87688,18357.9,43782.8,104751.6,87208.6,3099.7,4658.2,27372.3,87.21102317,1440.650829,4.523761905
2009M05,94.14395673,94.14395673,213.856,5.75,8.1,8.26,86.80041388,13.85,5.69,1.6,18436.7,44405.6,105757.5,87042.8,2086.3,4669.6,27463,93.34141033,1384.928282,3.8392
2009M06,94.10755149,94.10755149,215.693,5.545454545,8.13,8.32,85.71486764,13.82,5.73,1.60625,17891,44419.6,106903.9,87103.8,2237.7,4784.4,27769.9,93.32691658,1364.934529,3.158181818
2009M07,94.41439567,94.41439567,215.351,5.206521739,8.18,8.35,85.63751504,13.89,5.68,1.4975,18454,44639,108259.4,87058.7,3548.2,4760.1,27780.2,90.70598864,1245.216916,3.090681818
2009M08,94.47680466,94.47680466,215.834,4.75,8.26,8.3,84.62949079,13.95,5.66,1.33,18052.1,43630,109096.2,87270,2155.8,4747.1,27737.5,93.45880759,1202.112184,2.835666667
2009M09,95.05928854,95.05928854,215.969,4.636363636,8.32,8.33,84.5420619,13.98,5.66,1.26375,18342.8,43451,108022.9,87484.2,2191.1,4764.5,30387.7,93.04492571,1184.885933,2.864333333
2009M10,94.87726233,94.87726233,216.177,4.5,8.35,8.37,83.99431067,13.93,5.66,1.19938,18614,43773.5,109658.3,87730,3675.4,4752.1,30659.5,94.78633447,1183.564664,2.752952381
2009M11,94.92926981,94.92926981,216.33,4.5,8.3,8.15,84.40068349,13.68,5.65,1.0175,18681.8,45176.9,110071.8,88041.5,2289.4,4804,30629.1,98.80824099,1180.209644,2.606736842
2009M12,94.88246307,94.88246307,215.949,4.5,8.33,8.02,84.29070883,13.57,5.61,0.98438,21232.6,48490.4,114613.5,88189.3,2631.4,4927.6,30598.2,100.6597468,1164.992727,2.351681818
2010M01,96.11,96.11,216.687,4.5,8.37,8.01,84.66041288,13.52,5.62,0.84625,20081,48800.5,115761.6,88418.4,3240.8,5257.866,30437.8,101.4955256,1106.153416,2.215315789
2010M02,96.53,96.53,216.741,4.5,8.15,8,87.28078702,13.5,5.62,0.83938,19833.73286,47174.6,115525.5,87608.1,2250.2,5240.2124,30401.8,98.97938668,1134.886358,2.144894737
2010M03,97.64,97.64,217.631,4.5,8.02,8.01,89.3295426,13.48,5.62,0.92,20700.9,48039.5,116172.7,87411.1,2982.2,5228.2891,30370.8,96.30892033,1115.022201,2.000913043
2010M04,97.55,97.55,218.009,4.5,8.01,8.01,89.27225124,13.42,5.58,1.01563,19793.5,47357.7,116671.5,87868.6,3458.7,5287.9229,29880.3,96.84372055,1096.66822,1.864571429
2010M05,97.45,97.45,218.178,4.5,8,8.02,89.17870043,13.36,5.53,1.20406,19515.2,46492.2,116837.7,88314.1,2362.9,5275.024,29695.1,96.28737386,1150.497621,2.1942
2010M06,97.94,97.94,217.965,4.5,8.01,8.08,89.59544796,13.36,5.5,1.17313,20024.2,46790.7,118185.8,88655.7,2415.5,5419.7755,32410,95.75005588,1123.549715,2.317909091
2010M07,98.3,98.3,218.011,4.5,8.01,8.06,89.96974457,13.29,5.44,1.03669,20111.8,47559.2,119334.1,88506.4,3739.3,5423.6414,33832,99.96017481,1057.65711,2.37647619
2010M08,98.35,98.35,218.312,4.5,8.02,8,89.76537777,13.27,5.42,0.84306,19690.7,46679.6,119277.5,88437.7,2577.6,5405.8373,34298.2,107.6661071,1030.569054,2.585318182
2010M09,98.63,98.63,218.439,4.5,8.08,7.98,89.3027548,13.27,5.42,0.77775,19730.7,46927.1,119856.6,89416.4,2433.3,5412.3614,35098.2,114.1321396,1122.506051,2.434142857
2010M10,99.15,99.15,218.711,4.5,8.06,7.96,89.86000522,13.21,5.41,0.76219,20338.4,47915.6,121550.7,90185.5,3670.2,5438.0607,35098.2,120.0721393,1092.369837,1.93085
2010M11,99.92,99.92,218.803,4.5,8,7.82,91.11271131,13.21,5.4,0.78656,21201.9,49611.4,123019.1,92214.5,2665.4,5445.3982,35098.2,124.1206228,1082.658957,1.66395
2010M12,100,100,219.179,4.5,7.98,7.71,91.36557551,13.25,5.34,0.78094,23390.3,53076.4,127546.4,93249.8,2975.9,5562,36769.2,129.3098709,1301.141313,1.777409091
2011M01,100.8217183,100.8217183,220.223,4.5,7.96,7.63,91.97113786,13.28,5.35,0.78125,22652.9,51661.5,128290.2,93589.7,3471.195282,5548.8,36949.8,133.6873154,1321.795602,1.6787
2011M02,101.5810277,101.5810277,221.309,4.5,7.82,7.65,93.89760433,13.37,5.33,0.79025,22198.8,51016.4,128692.1,94020.6,2519.517984,5539.7,38896,137.6224,1394.129604,1.5151
2011M03,102.5171625,102.5171625,223.467,4.5,7.71,7.79,95.10691107,13.37,5.3,0.7825,22499.4,52041.1,130733.4,94475.1,4213.909057,5522.5,39749.8,134.2794232,1385.861224,1.65926087
2011M04,103.17,103.17,224.906,4.75,7.63,7.76,96.17837238,13.44,5.27,0.761,22840.9,52848.7,131721.5,95123.8,3887.351004,5518.8,40139.5,136.4202439,1395.388665,1.82085
2011M05,103.68,103.68,225.964,4.75,7.65,7.83,95.66715545,13.37,5.28,0.7295,21798.7,51804,130514.3,96017.5,2837.975696,5537.6,40307.2,135.1633393,1641.475866,2.023238095
2011M06,104.23,104.23,225.722,4.75,7.79,7.85,94.6861409,13.39,5.26,0.7335,22601.2,52562.1,132861.1,97458.9,2998.178981,5530.9,41692.1,134.955868,1790.603367,2.095636364
2011M07,105.22,105.22,225.922,4.75,7.76,7.85,95.87737896,13.37,5.24,0.76025,22467.8,53152,134777.6,98148.1,4185.038516,5522.8,42169.3,133.1989661,1775.670671,2.1333
2011M08,105.85,105.85,226.545,5,7.83,7.81,95.34111076,13.45,5.25,0.8,21933.4,51980.6,134501.7,98682.9,3001.625357,5498.4,43102.4,132.9764676,1798.204515,2.934173913
2011M09,105.78,105.78,226.889,5,7.85,7.8,94.82829674,13.51,5.24,0.86489,21776,51610.3,133626.6,100813.6,2905.465261,5475.1,44194.1,130.4093699,2053.018059,3.429761905
2011M10,105.74,105.74,226.421,5.5,7.85,7.81,95.09096614,13.53,5.24,0.93561,21766.4,51992.8,134402.7,102157.6,4289.611416,5737,45584.9,125.7190211,2199.457085,3.46355
2011M11,105.97,105.97,226.23,5.5,7.81,7.78,95.74160972,13.55,5.25,1.071,22603.5,53944.5,136766.2,104751.3,2915.98142,5402.6,46302.3,126.119292,2065.328278,3.5487
2011M12,106.2,106.2,225.672,5.5,7.8,7.73,96.37478126,13.51,5.19,1.128,24532.5,57340.5,141226.1,106391.8,3066.303967,5604.9,45074.6,122.0612877,2115.357779,3.520095238
2012M01,106.3,106.3,226.665,5.5,7.81,7.74,95.93792203,13.56,5.2,1.0957,23189.2,56070,140782.3,105900.8,3867.798951,5587.9,44936.41777,122.401387,2098.444833,3.39805
2012M02,106.83,106.83,227.663,5.5,7.78,7.78,96.30423732,13.49,5.2,1.0598,23240.8,55997.6,141828,107310.6,2863.473801,5551.6,45814.77594,125.3829266,2080.485807,3.3374
2012M03,107.18,107.18,229.392,5.5,7.73,7.85,96.62321113,13.39,5.21,1.0485,23365.7,55929.4,142932.8,108706.6,4095.160112,5528,46128.76101,125.7632492,1947.388504,3.038818182
2012M04,107.58,107.58,230.085,5.5,7.74,7.82,96.38328672,13.41,5.23,1.0472,23173,54488.8,141191.2,109629.5,3999.806189,5516.2,47461.2,124.3810221,2058.449303,3.15185
2012M05,107.72,107.72,229.815,5.5,7.78,7.88,96.18846236,13.43,5.25,1.069,22845.7,53551.3,140826.4,110979.1,3046.674446,5516.4,47489.9,119.0406551,2159.161998,3.448384764
2012M06,107.85,107.85,229.478,5.5,7.85,7.98,95.65623723,13.46,5.32,1.068,23045,54551.5,141329.2,112137,3253.917515,6238.4,47160.41636,115.8700589,2217.523521,3.828985086
2012M07,108.23,108.23,229.104,5,7.82,7.88,96.45160864,13.51,5.34,1.054,22945.6,54148.3,142698.1,113562.3,4490.650939,6213.245,47445.8064,122.1287742,2221.320181,3.674487414
2012M08,108.72,108.72,230.379,5,7.88,7.87,95.61504917,13.49,5.34,1.032,22397.9,54557.9,144589.3,115966.8,3102.004124,6252,47588.4584,123.3538562,2264.186372,3.20084537
2012M09,109.25,109.25,231.407,5,7.98,7.89,94.59780528,13.52,5.38,0.973,22583.6,53820.3,145485.7,117885.3,2903.648949,6247.1,47214.4584,125.2230452,2289.813068,2.940780995
2012M10,109.28,109.28,231.317,5,7.88,7.89,95.86061976,13.59,5.4,0.876,23212.1,54226.1,145252.6,118991.2,4615.472556,6297.7,47214.1681,124.0415128,2462.528973,2.807405418
2012M11,109.27,109.27,230.221,5,7.87,7.83,96.31906952,13.55,5.41,0.86,23185.9,56699.5,148416.9,121097.7,3120.753673,6281.1343,47183.8581,123.6386605,2628.645157,2.826382075
2012M12,109.86,109.86,229.601,5,7.89,7.81,96.854545,13.47,5.38,0.844,26552.1,61172.1,155033.3,125175.5,3460.466604,6304.9202,47094.04349,122.8647553,2786.543158,2.826631465
2013M01,110.4,110.4,230.28,5,7.89,7.8,97.19732556,13.52,5.42,0.781,24517.3,58173.3,153143.3,124949.1,4505.3548,6264.9358,47992.76388,123.3904553,2708.1,2.585440933
2013M02,111.3,111.3,232.166,5,7.83,7.79,97.83356009,13.5,5.45,0.752,24007.3,58315.8,154592.5,125607.2,3030.780813,6934.3353,49634.26191,123.2519543,2645.8,2.490629459
2013M03,111.83,111.83,232.773,5,7.81,7.82,98.28496669,13.5,5.46,0.732,25150.8,59950.9,156149.8,126267.2,4142.600153,6908.2882,49623.89633,122.8879324,2642,2.544795838
2013M04,112.02,112.02,232.531,5.25,7.8,7.82,98.71010542,13.53,5.45,0.705,24412.5,58271.6,157159.6,127014.2,4775.624094,6953.4963,49619.16669,122.8715607,2554,2.732268126
2013M05,112.32,112.32,232.945,5.25,7.79,7.89,98.9130723,13.59,5.44,0.689,23811.7,58416,159060.8,128065,3439.921011,6937.8002,49481.17045,122.0916012,2598.1,2.470042091
2013M06,113.02,113.02,233.504,5.25,7.82,7.94,98.8998028,13.62,5.46,0.686,24105.3,58387.9,158430.4,129316.9,3031.353669,6973.6866,49458.51563,120.9232668,2650,2.749946388
2013M07,113.36,113.36,233.596,5.25,7.82,7.96,99.08717123,13.62,5.45,0.673,24157.5,58029.4,160053.3,132033,5213.832666,6650.9048,49429.26111,117.8992147,2827.6,2.752193626
2013M08,113.52,113.52,233.877,5.25,7.89,7.9,98.16252945,13.62,5.47,0.667,23595.3,58658.8,161654.1,134486.8,3303.888071,6639.7707,49414.04298,116.1534228,3101.7,2.416475811
2013M09,113.85,113.85,234.149,5.25,7.94,7.86,97.80263704,13.63,5.5,0.629,23561.5,57504,161177.6,135910,3175.187021,6620.5,51135.09363,116.4053667,2986.4,2.633892115
2013M10,113.82,113.82,233.546,5,7.96,7.85,97.82547293,13.66,5.47,0.6029,24170.9,57482.5,161568.6,137679.2,5114.816428,6623.4,51295.0953,118.7531969,3212.600639,2.651801035
2013M11,114.33,114.33,233.069,5,7.9,7.76,99.24810399,13.68,5.5,0.578,23892.3,59004.1,163399.6,139502.2,3300.237291,6807.4,51293.0953,118.6788562,3443.391922,2.665628097
2013M12,114.68,114.68,233.049,5,7.86,7.73,100,13.7,5.46,0.583,27130.3,63030.5,168946,140158.7,3301.874205,7070.2279,49406.808,118.1952032,3432.458472,2.593609322
2014M01,114.97,114.97,233.916,5,7.85,7.75,100.0881584,13.78,5.49,0.565,24811.8,61371.6,167812.5,139747.8,4696.244009,7045.5,49041.79363,116.2244044,3353.892138,2.610073121
2014M02,115.2,115.2,234.781,5,7.76,7.73,101.0414643,13.81,5.49,0.5533,24637.4,60515.4,168138.2,139739.2,3139.864197,7023.7,51132.09363,118.4705098,3379.430165,2.622571806
2014M03,115.46,115.46,236.293,5,7.73,7.8,100.9937374,13.8,5.5,0.5581,24854.6,61110.2,170311.7,140252.2,4089.339032,7028.0658,53103.52363,122.1023335,3384.103824,2.501119626
2014M04,115.68,115.68,237.072,4.75,7.75,7.77,100.6034389,13.81,5.5,0.549,25281.5,61550.8,170921.4,142351.2,5068.51996,7026.5508,55790.88416,121.4568414,3706.904714,2.392369923
2014M05,115.94,115.94,237.9,4.75,7.73,7.81,100.6166434,13.83,5.51,0.534,24879.7,61376.9,170924.5,143198,3565.810767,7016.3618,56741.05555,121.3047573,3595.673142,2.382145883
2014M06,116.56,116.56,238.343,4.75,7.8,7.72,100.0724006,13.84,5.5,0.5451,25078.8,61644.9,171925.2,144831.4,3402.232866,7029.0841,56624.3,119.2949881,3662.239934,2.178548264
2014M07,117.23,117.23,238.25,4.5,7.77,7.65,101.1009188,13.87,5.46,0.5796,25973.2,61658,173623.4,146311.2,5589.202784,7001.6,56149.6,116.3746815,3835.428725,2.400787322
2014M08,117.72,117.72,237.852,4.5,7.81,7.62,101.3101982,13.74,5.46,0.5656,25380.6,62078.9,175597.2,146780.4,3601.894542,7011.7,55859.61185,113.0235495,3806.352805,2.449492392
2014M09,117.78,117.78,238.031,4.5,7.72,7.62,102.3983999,13.73,5.48,0.579,25143.3,61123.5,176354.7,147523.1,3528.133195,6985.0805,55561.2,109.3497745,3731.78442,2.252492168
2014M10,117.96,117.96,237.433,4.5,7.65,7.64,103.8820069,13.73,5.49,0.5538,25838,61734.4,176380,148721.2,5264.379855,6996.8034,54920.99661,109.3553704,3650.539851,2.461049493
2014M11,118.19,118.19,236.151,4.5,7.62,7.65,104.9454199,13.7,5.49,0.5646,25902.5,62791,177369.5,150233.3,3468.456098,7017.9315,54823.29118,108.2368348,3638.948219,2.465729231
2014M12,118.06,118.06,234.812,4,7.62,7.63,105.3849654,13.64,5.46,0.6288,29164.4,67530.5,183567.8,152455,3682.854081,7039.3,57623.29644,105.1499412,3927.135472,2.719736615
2015M01,117.64,117.64,233.707,4,7.64,7.69,105.2918833,13.6,5.45,0.6209,27231.5,67461.9,184210.6,153469.1,4793.192951,7356.291498,59864.09156,100.7119592,3923.011951,3.001371331
2015M02,118.01,118.01,234.722,4,7.65,7.69,105.0317782,13.48,5.45,0.6796,27115.3,68010.5,185855.2,155622.5,3340.335286,7404.40391,59566.58456,98.45041149,4027.740258,2.635522093
2015M03,118.26,118.26,236.119,3.5,7.63,7.65,104.8931771,13.37,5.45,0.6942,29055.9,69277,188788.8,156583.6,4196.65917,7382.33226,62675.13456,95.60566822,3994.155252,2.742268955
2015M04,118.66,118.66,236.599,3.5,7.69,7.65,104.2121146,13.29,5.43,0.70525,28168.4,68949.8,190070.4,158552.9,5113.679677,7496.04885,62650.44116,94.69689517,4011.065657,2.717645766
2015M05,118.9,118.9,237.805,3.5,7.69,7.646643871,103.8534671,13.21,5.49,0.7497,30081,70546.7,192603.3,160673.6,3518.265799,7484.72409,62079.74068,95.0304851,3974.059979,2.484962981
2015M06,119.34,119.34,238.638,3.5,7.65,7.693564,104.3884308,13.15,5.49,0.7715,29768.5,70410.4,192288.8,161431.2,3532.424127,7485.78713,61723.48058,94.54320673,4208.474998,2.472933392
2015M07,119.95,119.95,238.654,3.25,7.65,7.683855806,104.9717678,13.12,5.48,0.82835,29737.9,71329.6,193801.6,162892.3,5776.310559,7451.63515,61348.31106,93.80322138,4219.104201,2.695093839
2015M08,120.03,120.03,238.316,3.25,7.646643871,7.647624333,105.2036884,13.09,5.48,0.8433,29162,69697.1,194198.8,164853.6,3540.744,7429.9452,61346.10606,89.56419417,4356.495421,3.04771126
2015M09,119.99,119.99,237.945,3.25,7.693564,7.613479355,104.6902244,13.13,5.49,0.8511,28794.7,69092.5,193808.8,166372.4,3429.541625,7403.5018,61294.90606,89.01970146,4431.059748,3.018935403
2015M10,120.59,120.59,237.838,3,7.683855806,7.648605484,105.3939334,13.12,5.49,0.8684,29277.5,69943.1,194953.2,168422.4,5353.816005,7400.3009,61294.90606,90.36950869,4338.381603,3.119953912
2015M11,121.16,121.16,237.336,3,7.647624333,7.662025517,106.6189378,13.12,5.5,0.9806,29564.8,69626.3,194202.5,170328.5,3505.086176,7377.0333,61292.90606,87.70669525,4457.663768,2.898136113
2015M12,121.68,121.68,236.525,3,7.613479355,7.71716,107.9254689,13.06,5.43,1.178,33308.09506,75048.2,200906.9,172036.2,3630.644625,7489.948,61623.2555,87.06100573,4519.94999,2.991536329
2016M01,122.79,122.79,236.916,3,7.648605484,7.730261,108.2308568,13.08,5.5,1.13975,30855.45137,73944.8,200567.2,172721.9,4921.737041,7447.4488,62824.52134,84.86123842,4439.603157,3.262727174
2016M02,123.05,123.05,237.111,3,7.662025517,7.655817097,108.1810204,13.07,5.5,1.17875,30516.90036,73339.5,201330.8,172745.6,3350.365683,7430.3652,63361.88134,86.04638342,4463.983476,3.599970481
2016M03,123.3,123.3,238.132,3,7.71716,7.642882333,107.1649629,13.11,5.49,1.2104,31270.00002,73246.2,202470.3,172957.4,4244.158265,7410.7823,64492.5055,87.42220494,4401.022056,3.204795238
2016M04,123.51,123.51,239.261,3,7.730261,7.604172903,106.6598853,13.13,5.48,1.2295,31040.34027,74288.6,204448.2,173206.2,5310.253694,7401.0091,63932.02134,89.17734607,4284.905402,3.101276536
2016M05,124.08,124.08,240.229,3,7.655817097,7.534532903,107.7548901,13.15,5.48,1.3374,30770.39558,72836.5,203205.8,173728,4457.798924,8069.0671,63416.92134,90.58383942,4320.879169,3.048614162
2016M06,124.63,124.63,241.018,3,7.642882333,7.525949,108.055044,13.14,5.46,1.23025,31273.96573,73479.8,203513.3,173508.5,3828.188012,8064.9738,63603.67134,93.83605926,4368.257112,3.044294686
2016M07,125.49,125.49,240.628,3,7.604172903,7.498369032,109.5322113,13.11,5.46,1.4321,32147.11151,74467.3,205636.3,174102.5,6257.337134,8022.6996,63695.67134,92.97317259,4278.238684,2.752748055
2016M08,125.72,125.72,240.849,3,7.534532903,7.504329333,110.6524798,13.1,5.47,1.55711,31014.61057,71880.1,203955.1,174671.7,4140.999355,8005.8143,64022.86134,95.29472433,4355.647403,2.592378054
2016M09,125.46,125.46,241.428,3,7.525949,7.504338387,110.2862382,13.12,5.48,1.55178,31308.0176,72555.4,205259,175190.4,3672.768005,7996.8128,64449.9755,96.08610043,4458.074988,2.56977435
2016M10,126.33,126.33,241.729,3,7.498369032,7.522136129,111.3206875,13.1,5.49,1.57511,32866.87653,73074.8,206283.2,175702.1,5677.657617,7962.4793,64308.98134,95.92635655,4317.186511,2.562229133
2016M11,126.82,126.82,241.353,3,7.504329333,7.411076071,111.8376748,13.08,5.49,1.639,32078.5,74427.3,208499.4,178642,3977.694104,8014.3942,65641.84234,95.79927862,4416.44947,2.771716703
2016M12,126.83,126.83,241.432,3,7.504338387,7.35949871,111.8097467,13.03,5.44,1.68567,35473.76789,79517.6,214131.7,182198.7,4270.542166,8015.5041,65641.84234,95.08635695,4902.859844,2.741684721
2017M01,127.49,127.49,242.839,3,7.522136129,7.337470667,111.4760322,13.05,5.45,1.71344,33847.17664,77385.1,212851,181904.3,5263.734033,7983.9706,66112.84234,97.70243056,4811.870191,2.596313293
2017M02,127.92,127.92,243.603,3,7.411076071,7.339385313,113.1721464,13.05,5.45,1.75622,34353.85609,76411.9,213808.4,181452,3619.073405,7944.7823,66892.09234,98.11906988,4764.360879,2.487173297
2017M03,128.23,128.23,243.801,3,7.35949871,7.343816333,114.1711645,13.08,5.44,1.80178,35163.18551,77476,215533.3,181937.7,4894.701462,7906.4327,68276.89234,96.24032816,4800.226128,2.320085935
2017M04,128.56,128.56,244.524,3,7.337470667,7.306322258,114.4513174,13.08,5.42,1.774,35565.79993,79167.8,217753.8,182976.5,5742.649564,7870.2936,68185.87234,95.13627144,4890.166446,2.343840561
2017M05,128.96,128.96,244.733,3,7.339385313,7.275192581,114.6256381,13.04,5.41,1.723772,35120.23337,77788,218849.3,183112.1,3940.70892,7859.3912,69530.83234,97.39986983,4716.5,2.308171589
2017M06,130.07,130.07,244.955,3,7.343816333,7.301883,115.9496419,13.05,5.4,1.73844,35446.00189,78598.3,219651.6,183897.9,4638.728605,8344.8725,69793.62134,97.96606697,4797.115367,2.371775196
2017M07,132.04,132.04,244.786,3,7.306322258,7.34362,117.958469,13.06,5.37,1.72733,36174.35296,79114.9,221697.7,183390.7,6255.914937,8309.7444,70183.62134,100.2324052,4748.222851,2.334732236
2017M08,131.65,131.65,245.519,3,7.275192581,7.332673667,117.7134204,13.06,5.35,1.71344,35508.2621,77608.3,221450.6,183438.4,4058.244055,8286.0611,70142.2,99.33833022,4734.037748,2.346947223
2017M09,130.93,130.93,246.819,3,7.301883,7.34079,116.0251758,13.05,5.35,1.78233,35660.96525,78371.7,222036.9,184261.4,3770.992103,8242.9999,70223.08094,99.88713332,4876.514668,2.367576544
2017M10,131.64,131.64,246.663,3,7.34362,7.343481613,116.0749951,13.08,5.33,1.84844,36379.24095,78685.2,223091.7,185179.9,6048.834256,8245.0913,70522.84485,98.91213223,4926.558616,2.303210789
2017M11,132.77,132.77,246.669,2.75,7.332673667,7.359597143,117.2433576,13.05,5.32,1.95169,36252.92684,79770.8,224064.1,187399.9,4198.703967,8233.8805,71938.40766,98.93420858,5007.650148,2.258257356
2017M12,134.03,134.03,246.524,2.75,7.34079,7.392914516,118.2946264,13,5.28,2.10697,39823.92151,86427.6,232050.2,189043,4251.814693,8181.4688,72735.92267,96.40606602,5312.611467,2.17541942
2018M01,133.5,133.5,247.867,2.75,7.343481613,7.402599667,117.1455092,13.07,5.27,2.26671,37685.34025,82297.9,228793.9,188475.8,5750.597433,8164.5413,72728.92267,96.8029473,5086.21099,2.009504712
2018M02,133.23,133.23,248.991,2.75,7.359597143,7.440304516,116.1259215,13.05,5.27,2.50219,37806.94595,82767.1,230222.9,188561.2,3786.855287,8158.2126,74022.41477,97.8753092,5002.923275,2.00392
2018M03,133.54,133.54,249.554,2.75,7.392914516,7.485269667,115.610272,13.01,5.25,2.66263,38902.60647,84735.5,233475,189878.8,4791.386352,8139.6916,75006.26407,99.04206624,5028.691162,2.039320937
2018M04,133.6,133.6,250.546,2.75,7.402599667,7.484703226,115.0534662,13.02,5.25,2.77004,37875.8,84310.4,234336.6,190087.1,6061.566507,8118.3978,75766.7,98.55799183,5067.695806,2.059133
2018M05,134.23,134.23,251.588,2.75,7.440304516,7.500703226,114.5339466,12.98,5.22,2.71813,38122.4,82796.7,235382.6,191391.9,4293.825666,8102.3209,76648.77329,98.67277159,5228.490251,2.20808
2018M06,135,135,251.989,2.75,7.485269667,7.654351333,114.3167109,12.94,5.21,2.76406,38470.8,84144.4,235782.4,191899.7,4225.107155,8088.0444,77187.37329,96.95099172,5142.066132,2.368719
2018M07,135.48,135.48,252.006,2.75,7.484703226,7.724274516,114.7241675,12.96,5.17,2.82781,38793,84570.9,237907,191616.4,6622.724534,8065.4271,78086.18829,95.1351791,5094.284018,2.18573828
2018M08,136.08,136.08,252.146,2.75,7.500703226,7.700699,114.9225959,12.92,5.15,2.84,38357.6,84555.8,239696,192403.3,4202.180844,8305.1225,79504.49738,95.96957618,5118.24933,2.27764065
2018M09,136.89,136.89,252.439,2.75,7.654351333,7.730000645,113.1545342,12.87,5.13,2.91863,38434.9,84425,241662.9,195243.7,3928.586771,8272.8629,80706.24256,94.23943041,4963.068168,2.3
2018M10,137.35,137.35,252.885,2.75,7.724274516,7.737828214,112.3086362,12.85,5.11,3.08375,40097,84274.4,241187.8,197208.8,6459.339626,8246.5445,81611.78446,93.30885216,4975.001414,2.302166
2018M11,136.95,136.95,252.038,2.75,7.700699,7.737828214,112.7017897,12.81,5.09,3.12025,40077.1,87051.8,244008.9,199254.2,4448.293739,8228.5989,82249.34076,92.19553425,5087.41596,2.48
2018M12,137.13,137.13,251.233,2.75,7.730000645,7.690478387,112.7823925,12.72,5.05,3.00544,44202.35686,93555,253786.9,202220.6,4268.947199,8220.5047,82446,92.24960346,5196.412509,2.698559189
2019M01,138.98,138.98,251.712,2.75,7.729149677,7.644305667,114.0989523,12.74,5.05,2.9835,41996.8,90228.8,250263.3,201438.3,5988.915407,8214.3738,83233.5,93.31506032,4930.784084,2.5925
2019M02,139.17,139.17,252.776,2.75,7.737828214,7.667630323,113.6463813,12.77,5.03,2.86488,41880.2,90392.6,252368,202211.1,3918.732353,8166.2908,84804.4628,94.00982725,4924.136762,2.4601
2019M03,139.11,139.11,254.202,2.75,7.690478387,7.704992333,113.655628,12.79,5.02,2.71063,42178.3,92759.4,254175.1,203100.8,5091.430497,8129.3885,85501.0728,93.15841497,4953.774516,2.5165
2019M04,139.95,139.95,255.548,2.75,7.644305667,7.675909355,114.4266362,12.75,5.01,2.71688,43144.9,92776.8,255546.5,204310.3,6229.499375,8078.5653,86620.8838,93.61137017,4920.682431,2.4199
2019M05,140.32,140.32,256.092,2.75,7.667630323,7.67082129,114.1372545,12.74,5.1,2.51025,42731.9,93344.3,256132.4,205200.8,4597.005921,9263.2,87425.4,94.26766426,4903.787121,2.555420698
2019M06,141.48,141.48,256.143,2.75,7.704992333,7.705932333,114.4999997,12.75,5.08,2.17813,43264.1,94275.9,258752.6,205807.6,4239.576312,9251.4604,87593.281,95.40499303,5001.889003,2.78435275
2019M07,141.4,141.4,256.571,2.75,7.675909355,7.762956452,114.6771719,12.77,5.03,2.18863,44489.7,94521.6,260638,204940.1,7034.346518,9215.034974,87920.802,95.14701488,4960.642936,2.463720799
