,v_cpi_sub,v_cpi_nosub,cpi,cpi_star,i_endo,s_endo,s,s_1,itcer,I_a,I_p,I_star,emision_n,m1_n,m2_n,credito_n,ingtrib_n,de_us,di_n,lincred_n,prem_endo,prem
Comment,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada
2018M05,2.415037394,1.671501068,134.23,109.969,2.75,7.440304516,7.440304516,7.500703226,114.5339466,12.98,5.22,1.7,38122.42657,82796.7,235382.6,191391.9,4293.825666,8102.3209,76382.59939,5188.192515,2.20808,2.20808
2018M06,2.569856167,1.220410612,135,110.106,2.75,7.485269667,7.485269667,7.654351333,114.3167109,12.94,5.21,1.91,38470.8,84144.4,235782.4,191899.7,4225.127155,8088.0444,76927.13999,5142.066132,2.368719,2.368719
2018M07,2.689854622,-0.084583492,135.48,110.238,2.75,7.484703226,7.484703226,7.724274516,114.7241675,12.96,5.17,1.91,38793,84570.9,237907,191616.4,6622.724534,8065.4271,77819.05544,5094.284018,2.18573828,2.18573828
2018M08,2.754314423,0.610668486,136.08,110.247,2.75,7.500703226,7.500703226,7.700699,114.9225959,12.92,5.15,1.91,38357.6,84555.8,239696,192403.3,4202.180844,8305.1225,79302.02012,5118.24933,2.27764065,2.27764065
2018M09,2.800207853,1.751842861,136.89,110.475,2.75,7.654351333,7.654351333,7.730000645,113.1545342,12.87,5.13,2.18,38434.9,84425,241662.9,195243.7,3924.752627,8272.8629,80618.35295,4963.068168,2.3,2.3
2018M10,2.724974155,1.612613204,137.35,110.641,2.75,7.724274516,7.724274516,7.729149677,112.3086362,12.85,5.11,2.2,40097,84274.4,241187.8,197208.8,6459.3,8246.5,81549.74929,4975.001414,2.302166,2.302166
2018M11,2.661389112,0.486912462,136.95,110.838,2.75,7.700699,7.700699,7.737828214,112.7017897,12.81,5.09,2.2,40077.1,87051.8,244008.9,199254.2,4448.3,8228.6,82160.70004,5087.41596,2.481740172,2.481740172
2018M12,2.657149315,-0.344234296,137.13,111.006,2.75,7.730000645,7.730000645,7.690478387,112.7823925,12.72,5.05,2.4,44202.35686,93555,253786.9,202220.6,4268.9,8220.5047,82386.91926,5196.412509,2.698559189,2.698559189
2019M01,2.514587164,1.59028175,138.98,111.06,2.75,7.729149677,7.729149677,7.644305667,114.0989523,12.74,5.05,2.4,41996.8,90228.8,250263.3,201438.3,5988.915407,8214.3738,83196.90726,4930.784084,2.5925,2.5925
2019M02,2.450762749,2.007692554,139.17,111.096,2.75,7.737828214,7.737828214,7.667630323,113.6463813,12.77,5.03,2.4,41880.2,90392.6,252368,202211.1,3918.732353,8166.2907,84721.29074,4924.136762,2.4601,2.4601
2019M03,2.541497469,1.629537427,139.11,111.254,2.75,7.690478387,7.690478387,7.704992333,113.655628,12.79,5.02,2.43,42178.3,92759.4,254175.1,203100.8,5091.430497,8129.3885,85395.84083,4953.774516,2.5165,2.5165
2019M04,2.543224335,2.209769677,139.95,111.607,2.75,7.644305667,7.644305667,7.675909355,114.4266362,12.75,5.01,2.45,43144.9,92776.8,255546.5,204310.3,6229.499375,8078.5654,86491.85121,4920.682431,2.4199,2.4199
2019M05,2.533207655,2.003781096,140.32,111.744,2.75,7.667630323,7.667630323,7.67082129,114.1372545,12.74,5.1,2.4,42731.9,93344.3,256132.4,205200.8,4597.005921,9263.1642,87354.50882,4903.787121,2.555420698,2.555420698
2019M06,2.451210737,2.348789263,141.48,111.997,2.75,7.704992333,7.704992333,7.705932333,114.4999997,12.75,5.08,2.4,43264.1,94275.9,258752.6,205807.6,4239.576312,9251.4605,87510.48018,5001.889003,2.78435275,2.78435275
2019M07,2.328622103,2.041026554,141.4,112.15,2.75,7.675909355,7.675909355,7.762956452,114.6771719,12.77,5.03,2.4,44489.7,94521.6,260638,204940.1,7034.346518,9215.035,87816.05726,4960.642936,2.463720799,2.463720799
2019M08,2.281298161,0.731635407,140.18,112.289,2.75,7.67082129,7.67082129,7.704358667,113.768939,12.79,5,2.13,43731.3,95395.4,263001.6,205268.8,4471.05877,9177.0574,87803.33938,5009.907538,2.739001767,2.739001767
2019M09,2.210438967,-0.406070496,139.36,112.367,2.75,7.705932333,7.705932333,7.688606129,112.4999704,12.78,4.99,1.9,44107.2,95228,265056.9,207101.8,4264.329199,9139.3049,87409.72939,5050.44954,2.422422032,2.422422032
2019M10,2.213110447,-0.04347084,140.33,112.54,2.75,7.762956452,7.762956452,7.695609032,112.1942914,12.7,4.96,1.58,46179.2,96199.4,265346.7,208927.7,7130.751772,9125.3343,87128.85885,4820.46082,2.530608527,2.530608527
2019M11,2.214760065,0.70601394,140.95,112.576,2.75,7.704358667,7.704358667,7.648576897,113.6080343,12.67,4.95,1.56,46371.5,99233,268963,210793.9,4636.129651,9113.6745,87123.80126,4721.281053,2.3544,2.3544
2019M12,2.21720624,1.188321362,141.8,112.824,2.75,7.688606129,7.688606129,7.68644871,114.6315645,12.64,4.91,1.55,50987.7,106164.1,278673.9,212828.7,4991.782083,9105.8117,87221.65684,4817.699654,2.3127,2.3127
2020M01,2.321135759,-0.536706345,141.46,113.04,2.75,7.695609032,7.695609032,7.707339667,113.8111265,12.65,4.87,1.59,48844.6,104125.6,277521.9,213041.9,6587.389086,9105.5092,87165.55815,4481.810576,2.26729,2.26729
2020M02,2.276352644,-1.040454103,140.89,113.215,2.75,7.648576897,7.648576897,7.698647097,113.7378113,12.68,4.84,1.58,48241.9,104342,278421.1,214234.7,4261.042982,9040.426,88225.75508,4768.134262,2.431708215,2.431708215
2020M03,2.130972624,-0.362587892,141.57,113.15,2.75,7.68644871,7.68644871,7.697426333,113.9717423,12.64,4.82,0.08,50190.3,105553.6,284043,219460.9,3653.747159,9003.7202,90033.32477,5189.79866,4.15474147,4.15474147
2020M04,2.038176298,-0.158933711,142.58,112.628,2,7.707339667,7.707339667,7.695966129,115.2443678,12.62,4.74,0.05,52021.7,106312.9,286937.6,220966.6,6953.056577,10477.7137,93482.76741,5102.296975,4.418880305,4.418880305
2020M05,2.010500193,-0.207478528,142.85,112.864,2,7.698647097,7.698647097,7.705185806,115.5906794,12.66,4.73,0.05,53735.3,109904.8,292601,221066.7,3477.868175,10462.3,93650.85017,4841.543955,3.834503218,3.834503218
2020M06,1.945836306,0.443193946,144.86,113.265,2,7.697426333,7.697426333,7.757204333,116.5976719,12.65,4.68,0.08,54739.6,113234.9,297303.2,221903.4,3531.959342,10448.6,100852.861,4596.457048,3.381816281,3.381816281
2020M07,1.93349731,0.944861954,145.47,113.61,1.75,7.695966129,7.695966129,7.781356774,116.5214792,12.46,4.6,0.1,55844.9,116359.4,303248.2,219777.5,6154.313988,10423.2,105591.8646,4394.10677,3.268662713,3.268662713
2020M08,1.978356361,2.209116888,146.05,113.971,1.75,7.705185806,7.705185806,7.788877333,116.478792,12.48,4.56,0.09,55442.2,117877.1,307864.5,219224.2,3934.278773,10389.3835,105849.2873,4391.86216,2.826127334,2.826127334
2020M09,2.070386887,2.895169944,146.28,114.131,1.75,7.757204333,7.757204333,7.80121871,115.7188663,12.48,4.51,0.09,57433.9,122245,314320.9,218967.4,4255.612651,10385.105,107911.3953,4241.491378,2.901434951,2.901434951
2020M10,2.084659338,3.259885663,147.83,114.137,1.75,7.781356774,7.781356774,7.79006871,116.5335853,12.33,4.46,0.09,57603.2,123763.4,318372.9,222718,7592.758069,10455.0528,108426.5,4378.369377,2.703734425,2.703734425
2020M11,2.144717216,3.318212901,148.65,114.134,1.75,7.788877333,7.788877333,7.745361786,117.13838,12.32,4.42,0.09,58068.8,123479.8,320974.5,224088,4731.047011,10449.3699,108848.9,4338.282753,2.458331659,2.458331659
2020M12,2.195787191,2.627908155,148.64,114.494,1.75,7.80121871,7.80121871,7.720328387,116.8352245,12.33,4.35,0.09,64201.1,132969.1,330788.4,225715.1,5146.326188,10449.7691,107743.9,4426.055281,2.257345089,2.257345089
2021M01,2.282230854,2.955999034,148.87,114.746,1.75,7.79006871,7.79006871,7.716579333,116.6871353,12.34,4.32,0.07,61390.1,131380.9,331001.6,225839.4,6893.669097,10411.5206,107605.2157,3986.977995,2.224164548,2.224164548
2021M02,2.462929249,3.534657521,149.34,114.899,1.75,7.745361786,7.745361786,7.714919032,117.0902351,12.32,4.29,0.07,61037,130681.4,335299.6,227742.9,4730.914639,10365.8696,107261.9387,3720.855459,2.199227719,2.199227719
2021M03,2.609828234,3.23180488,149.84,115.383,1.75,7.720328387,7.720328387,7.738516,117.0341638,12.32,4.25,0.06,62819.4,131888.4,337736,229124.8,6255.246032,10327.1921,113394.2261,3721.94076,2.153174738,2.153174738
2021M04,2.692867756,2.51122819,150,116.1,1.75,7.716579333,7.716579333,7.745088387,116.2605342,12.28,4.22,0.05,61517.3,132162.6,340066.7,230800.4,7775.01294,10308.7498,115141.5602,3657.515373,1.951992121,1.951992121
2021M05,2.751087666,2.422170997,150.24,116.766,1.75,7.714919032,7.714919032,7.738385161,115.545268,12.25,4.19,0.05,61819,131545.7,342072.6,232867.5,5258.4173,10287.1864,115835.6149,3599.130563,1.972680952,1.972680952
2021M06,2.750974655,1.15624611,150.52,117.327,1.75,7.738516,7.738516,7.731863667,114.3452323,12.24,4.15,0.08,62776.9,133392.6,345364.7,234727.4,5106.021295,10274.3288,119648.6406,3625.491657,1.946884049,1.946884049
2021M07,2.824754238,0.990465395,151.02,117.704,1.75,7.745088387,7.745088387,7.731476129,114.0789679,12.14,4.09,0.07,63985.1,135825.1,349147.9,238089.3,8910.686147,10249.6639,120486.0234,3870.117733,2.156358622,2.156358622
2021M08,2.986059666,0.629140608,151.33,118.073,1.75,7.738385161,7.738385161,7.731369333,114.1762346,12.14,4.07,0.06,63356.6,133258.7,348809.7,239528.4,5316.617167,10205.9556,120433.5509,3808.377202,2.311611485,2.311611485
2021M09,3.070393562,0.600648276,151.65,118.357,1.75,7.731863667,7.731863667,7.725414194,114.204127,12.16,4.04,0.06,64448.6,134646.7,352079.1,240513,5273.262771,10176.1634,118165.205,3841.57009,2.209105162,2.209105162
2021M10,3.271853447,-0.315755226,152.2,118.915,1.75,7.731476129,7.731476129,7.702852903,113.6794901,12.13,4.03,0.07,65064.6,136319.5,353691,244291.2,9148.590371,11150.0232,118947.2336,3886.42438,2.334345608,2.334345608
2021M11,3.583492756,-0.697518992,152.94,119.483,1.75,7.731369333,7.731369333,7.698491429,113.6752925,12.02,4.02,0.07,65610.7,137556.5,355906.8,250295.8,5708.103842,11104.033,118892.7657,4031.355084,2.360787546,2.360787546
2021M12,3.898273468,-0.830458613,153.2,120.092,1.75,7.725414194,7.725414194,7.694115484,113.6073288,11.92,3.99,0.07,71955.1,148342.2,369207.1,254438.8,7642.512473,11097.1532,119005.7,4257.872903,2.517670829,2.517670829
2022M01,4.092842579,-1.224568246,153.14,120.66,1.75,7.702852903,7.702852903,7.662973,112.9450518,11.92,3.95,0.08,69730,146131.3,372873.1,255296,7765.852513,11069.8528,118984.4945,4053.007873,2.461946634,2.461946634
2022M02,4.411252975,-1.431475287,153.79,121.005,1.75,7.698491429,7.698491429,,112.4614618,11.92,3.95,0.08,69952.2,146184.9,373633.5,258068.1,5227.655322,11028.7387,118992.4677,4134.677465,2.61073,2.61073
2022M03,5.094143867,-0.924143867,156.09,121.359,1.75,7.694115484,7.694115484,,112.7034575,11.95,3.91,0.33,71178.9,147591.9,377880.8,261788.8,7634.946361,10989.287,122353.6775,4233.485162,2.761722814,2.761722814
2022M04,5.688337326,-1.068337326,156.93,121.9739092,1.75,7.662973,7.662973,,,11.93,3.9,0.33,71829.2,150170.3,381285,264127,,,,4202.211688,2.50149,2.50149
2022M05,6,,,122.5335797,,,,,,,,0.52625,,,,,,,,,,
2022M06,6,,,122.9815924,,,,,,,,0.7225,,,,,,,,,,
2022M07,,,,123.2356123,,,,,,,,0.91875,,,,,,,,,,
2022M08,,,,123.4803616,,,,,,,,1.115,,,,,,,,,,
2022M09,,,,123.6354352,,,,,,,,1.31125,,,,,,,,,,
2022M10,,,,124.0757188,,,,,,,,1.5075,,,,,,,,,,
2022M11,,,,124.525086,,,,,,,,1.70375,,,,,,,,,,
2022M12,,,,125.015772,,,,,,,,1.9,,,,,,,,,,
2023M01,,,,125.456235,,,,,,,,1.975,,,,,,,,,,
2023M02,,,,125.6636925,,,,,,,,2.05,,,,,,,,,,
2023M03,,,,125.8796228,,,,,,,,2.125,,,,,,,,,,
2023M04,,,,126.36497,,,,,,,,2.2,,,,,,,,,,
2023M05,,,,126.7916216,,,,,,,,2.275,,,,,,,,,,
2023M06,,,,127.1014757,,,,,,,,2.35,,,,,,,,,,
2023M07,,,,127.2099608,,,,,,,,2.425,,,,,,,,,,
2023M08,,,,127.3082528,,,,,,,,2.5,,,,,,,,,,
2023M09,,,,127.3135894,,,,,,,,2.575,,,,,,,,,,
2023M10,,,,127.6118767,,,,,,,,2.65,,,,,,,,,,
2023M11,,,,127.9183946,,,,,,,,2.725,,,,,,,,,,
2023M12,,,,128.2661821,,,,,,,,2.8,,,,,,,,,,
2024M01,,,,128.6867331,,,,,,,,2.8,,,,,,,,,,
2024M02,,,,128.8681167,,,,,,,,2.8,,,,,,,,,,
2024M03,,,,129.0580832,,,,,,,,2.8,,,,,,,,,,
2024M04,,,,129.5240942,,,,,,,,2.8,,,,,,,,,,
2024M05,,,,129.9297142,,,,,,,,2.8,,,,,,,,,,
2024M06,,,,130.2154619,,,,,,,,2.8,,,,,,,,,,
2024M07,,,,130.2948023,,,,,,,,2.8,,,,,,,,,,
2024M08,,,,130.3636509,,,,,,,,2.8,,,,,,,,,,
2024M09,,,,130.3372871,,,,,,,,2.8,,,,,,,,,,
2024M10,,,,130.6107558,,,,,,,,2.8,,,,,,,,,,
2024M11,,,,130.8924973,,,,,,,,2.8,,,,,,,,,,
2024M12,,,,131.2163043,,,,,,,,2.8,,,,,,,,,,
2025M01,,,,,,,,,,,,,,,,,,,,,,
2025M02,,,,,,,,,,,,,,,,,,,,,,
2025M03,,,,,,,,,,,,,,,,,,,,,,
2025M04,,,,,,,,,,,,,,,,,,,,,,
2025M05,,,,,,,,,,,,,,,,,,,,,,
2025M06,,,,,,,,,,,,,,,,,,,,,,
2025M07,,,,,,,,,,,,,,,,,,,,,,
2025M08,,,,,,,,,,,,,,,,,,,,,,
2025M09,,,,,,,,,,,,,,,,,,,,,,
2025M10,,,,,,,,,,,,,,,,,,,,,,
2025M11,,,,,,,,,,,,,,,,,,,,,,
2025M12,,,,,,,,,,,,,,,,,,,,,,
