date;CPI;target;v_cpi;vol_cpi1;pce;core_pce;cpiUS;pet;fao_Index;inf_seasAdj;IT_reg;inf_seasAdj_l1;inf_seasAdj_l3;inf_seasAdj_l6;inf_seasAdj_l12;inf_seasAdj_l24
1994-10-01;33.4;7.0;12.306657700067248;1.0144620906337931;2.104670143152232;2.2649977698483426;2.609890109890123;-2.397354643152372;14.215686274509798;1.494974249061916;0.0;0.6723067272478112;-2.5955516597992263;1.2427184214065838;-0.057455459400064676;0.06619381731727982
1994-11-01;33.87;7.0;12.412877530700284;0.9806630410083534;2.106462124052011;2.189689689689689;2.602739726027403;8.389723935565009;16.1904761904762;2.1544574391062716;0.0;1.494974249061916;-1.171915753941787;1.6043155813659848;-0.8948387108408178;1.4003295628720145
1994-12-01;34.03;7.0;11.610364053788146;0.9327281587802346;2.1492201689393697;2.1789883268482635;2.597402597402576;18.263266712612;13.685847589424572;1.679855989828848;0.0;2.1544574391062716;0.6723067272478112;-0.7680209116725348;-2.0045444985927094;2.0420122268135827
1995-01-01;34.05;9.0;9.30979133226324;0.9124874428358337;2.3214259982419883;2.3508011885917446;2.8708133971291794;19.933333333333316;13.023255813953494;-0.6764320039931258;0.0;1.679855989828848;1.494974249061916;-2.5955516597992263;0.010652885780560506;1.4334496238964436
1995-02-01;33.93;9.0;7.919847328244267;0.8587036565059641;2.265735070013508;2.2972579773599566;2.862985685071595;25.372124492557525;16.068642745709848;-1.9174010599923061;0.0;-0.6764320039931258;2.1544574391062716;-1.171915753941787;1.2260376172505376;0.10728933279614691
1995-03-01;34.1;9.0;7.843137254901955;0.7924812396210119;2.172043010752689;2.1996685998343146;2.7872195785180187;26.53478854024558;16.434108527131762;-1.6739411477880228;0.0;-1.9174010599923061;1.679855989828848;0.6723067272478112;1.3327814753265068;-1.4345580842909564
1995-04-01;34.36;9.0;7.374999999999998;0.758121182445436;2.321285370603743;2.283256121773647;3.125000000000022;21.30647130647132;16.169544740973297;-1.7977245462486828;0.0;-1.6739411477880228;-0.6764320039931258;1.494974249061916;1.2427184214065838;-0.8630470210582097
1995-05-01;34.87;9.0;8.12403100775192;0.7731571442447562;2.3308023393819655;2.230017884165658;3.1186440677966054;10.402684563758392;12.804878048780498;-0.6813717898802624;0.0;-1.7977245462486828;-1.9174010599923061;2.1544574391062716;1.6043155813659848;-1.0400449528400677
1995-06-01;35.31;9.0;9.149922720247305;0.8024748650834147;2.1810453041195776;2.0919410852287657;3.0425963488843744;-3.40849501835343;15.18404907975459;0.6167551853135435;0.0;-0.6813717898802624;-1.6739411477880228;1.679855989828848;-0.7680209116725348;0.909941132294623
1995-07-01;35.39;9.0;8.89230769230769;0.7882988973193374;1.9864912904372423;2.039614267711354;2.8301886792452713;-11.959287531806606;24.4131455399061;0.5212569882571492;0.0;0.6167551853135435;-1.7977245462486828;-0.6764320039931258;-2.5955516597992263;1.9682033733536377
