;core_pce;pce;cpiUS;gpenergy;pet_wti;food_imf;fao_Index;IGREA;USPHCI;GEPUI
1959-01-01;;;1.2918994413407825;;-2.280130293159599;;;;;
1959-02-01;;;1.0452961672473782;;-2.280130293159599;;;;;
1959-03-01;;;0.3463803255975062;;-3.2573289902280034;;;;;
1959-04-01;;;0.13821700069107656;;-3.2573289902280034;;;;;
1959-05-01;;;0.3455425017277136;;-3.2573289902280034;;;;;
1959-06-01;;;0.6918021445866396;;-3.2573289902280034;;;;;
1959-07-01;;;0.8999653859466772;;-3.2573289902280034;;;;;
1959-08-01;;;0.8293020041465038;;-3.2573289902280034;;;;;
1959-09-01;;;1.1760636457972984;;-3.2573289902280034;;;;;
1959-10-01;;;1.5219647180906293;;-3.2573289902280034;;;;;
1959-11-01;;;1.3816925734024155;;-0.9999999999999898;;;;;
1959-12-01;;;1.5188125647221273;;-0.9999999999999898;;;;;
1960-01-01;2.0673537871524594;1.6955491833935854;1.2409513960703222;;-0.9999999999999898;;;;;
1960-02-01;2.1795102089695373;1.7064208756305765;1.4137931034482687;;-0.9999999999999898;;;;;
1960-03-01;2.0814642024044483;1.6928055763007155;1.5188125647221273;;0.0;;;;;
1960-04-01;2.0045340651473564;1.8633540372670732;1.9323671497584405;;0.0;;;;;
1960-05-01;2.0377763212774846;1.911974672543293;1.8250688705234275;;0.0;;;;;
1960-06-01;1.8060836501901045;1.6651191581553704;1.7176228100309165;;0.0;;;;;
1960-07-01;1.748562622251204;1.6307369201309596;1.3722126929674117;;0.0;;;;;
1960-08-01;1.7279128942540911;1.659264742166311;1.473612063056895;;0.0;;;;;
1960-09-01;1.5404591866847728;1.451860965856655;1.2307692307692353;;0.0;;;;;
1960-10-01;1.425877916568452;1.325641340370698;1.3628620102214661;;0.0;;;;;
1960-11-01;1.5114979709463183;1.6008341511285717;1.4650766609880739;;0.0;;;;;
1960-12-01;1.3271478066827047;1.5070759051644789;1.3600816048962905;;0.0;;;;;
1961-01-01;1.326836141607468;1.5753340688978934;1.6002723867892366;;0.0;;;;;
1961-02-01;1.2364488719601496;1.5675708774723018;1.4620877252635056;;0.0;;;;;
1961-03-01;1.2597410206831805;1.456548347613218;1.4620877252635056;;0.0;;;;;
1961-04-01;1.2165165516434762;1.0243902439024621;0.9140148950575577;;0.0;;;;;
1961-05-01;1.1854014598540186;0.9745995005177477;0.9130875887723988;;0.0;;;;;
1961-06-01;1.2721755368814147;0.9802727715538362;0.7767646065518496;;0.0;;;;;
1961-07-01;1.2524758243038558;1.0210903786543435;1.25211505922167;;0.0;;;;;
1961-08-01;1.2099354313303667;0.9344093198228265;1.1144883485309176;;0.0;;;;;
1961-09-01;1.3368983957219305;0.9884179249287417;1.249577845322536;;0.0;;;;;
1961-10-01;1.3128848611595467;0.860084797092675;0.7731092436974896;;0.0;;;;;
1961-11-01;1.0602549246813364;0.5312405674614995;0.671591672263272;;0.0;;;;;
1961-12-01;1.17647058823529;0.5371476854366675;0.6709158000671067;;0.0;;;;;
1962-01-01;1.268903180949077;0.7120873815702033;0.6702412868632601;;0.0;;;;;
1962-02-01;1.337115072933548;0.8862362090794162;0.9048257372654245;;0.0;;;;;
1962-03-01;1.5391737067468991;1.0737121486307233;1.1058981233244003;;0.0;;;;;
1962-04-01;1.4156939789668144;1.249396426846916;1.3418316001341912;;0.0;;;;;
1962-05-01;1.4312096029547527;1.2607830126078357;1.3404825737265424;;0.0;;;;;
1962-06-01;1.463639506741976;1.2722339463370425;1.2399463806970434;;0.0;;;;;
1962-07-01;1.392324952534385;0.998736538114442;1.0026737967914423;;0.0;;;;;
1962-08-01;1.3046726823380705;1.0580102194168717;1.135604542418167;;0.0;;;;;
1962-09-01;1.2963175404382188;1.441095232376588;1.4676450967311627;;0.0;;;;;
1962-10-01;1.2557339449541072;1.3451837617103113;1.3342228152101399;;0.0;;;;;
1962-11-01;1.3128475606260404;1.4171620728997913;1.3342228152101399;;0.0;;;;;
1962-12-01;1.2544392255699366;1.344699243606673;1.2329223592135952;;0.0;;;;;
1963-01-01;1.3331044741961229;1.4021211576487502;1.331557922769644;;0.0;;;;;
1963-02-01;1.2794882047181044;1.2370025098601412;1.2288276320159497;;0.0;;;;;
1963-03-01;1.1055390927741104;1.0264979708761057;1.1269472986410234;;0.0;;;;;
1963-04-01;1.2079083812888358;0.9061102831594781;0.893743793445867;;0.0;;;;;
1963-05-01;1.246017296313151;1.0008340283569561;0.8928571428571619;;0.0;;;;;
1963-06-01;1.2380736029077744;1.1609907120742946;1.3240648791790655;;0.0;;;;;
1963-07-01;1.242694206434769;1.4177637457556402;1.5552614162806178;;0.0;;;;;
1963-08-01;1.3162373766027358;1.409791208137512;1.5521796565389767;;0.0;;;;;
1963-09-01;1.3023782559456354;0.8878891914289255;0.9861932938855844;;0.0;;;;;
1963-10-01;1.5346282348943863;1.1969661057122494;1.2179065174456882;;0.0;;;;;
1963-11-01;1.5561339972838262;1.2611759133163591;1.3166556945358954;;0.0;;;;;
1963-12-01;1.6688352095943992;1.4512498519132722;1.6458196181698526;;0.0;;;;;
1964-01-01;1.614815651290158;1.418188264492115;1.6425755584756896;;0.0;;;;;
1964-02-01;1.6919519485646406;1.4580012986246338;1.4107611548556331;;0.0;;;;;
1964-03-01;1.7247210010145286;1.594990548204156;1.4093739757456536;;0.0;;;;;
1964-04-01;1.7001632607104522;1.6777928752879978;1.5419947506561726;;0.0;;;;;
1964-05-01;1.6015734756954059;1.5276630883567233;1.5404785316289749;;0.0;;;;;
