,pce,core_pce,cpiUS,pet,fao_Index,ner_gt,omas_mn,emision
1993-01-01,2.7044974343495287,2.814310946326648,3.2537960954446943,1.3549415515409002,-5.401234567901236,4.0305814249999905,,
1993-02-01,2.5983019208767333,2.732447265369098,3.2467532467532534,5.569886812319025,-6.849315068493156,3.9194013242470627,,
1993-03-01,2.560482962651478,2.6980323821970575,3.0194104960460155,7.56502431803765,-4.841149773071097,5.639350885295169,,
1993-04-01,2.555077955338536,2.660259657553099,3.1563845050215145,0.13337943980635814,-3.100775193798455,8.517526414282251,,
1993-05-01,2.7371853358661102,2.863213273978138,3.2211882605583497,-4.775549188156636,-4.320987654320985,10.910887653737333,,
1993-06-01,2.590480172001919,2.8811992721180735,2.9978586723768963,-14.77094972067039,-6.249999999999989,10.822512376491655,,
1993-07-01,2.4152863967141336,2.7077967857502605,2.8469750889679624,-17.89144721724344,-3.881987577639767,10.58436014931996,,
1993-08-01,2.4536686135508967,2.8044906349274923,2.840909090909083,-15.648711943793913,-3.6624203821655987,10.360980062839875,,
1993-09-01,2.3932816000712176,2.7913318025258205,2.7639971651311157,-20.03470002739477,-4.094488188976375,10.316074230169448,,
1993-10-01,2.3538108967250615,2.56762166180593,2.752293577981657,-16.33622279601623,-0.4878048780487809,10.304363529396765,,
1993-11-01,2.3462401133278243,2.606239568622404,2.7445460942997935,-17.90876020057024,0.9615384615384581,10.533111724684897,,
1993-12-01,2.191909966708905,2.461875809827574,2.8109627547435068,-25.233163291595815,5.40983606557377,8.735201217198242,,
1994-01-01,1.9764297889848903,2.2474621991907417,2.450980392156854,-21.363040629095675,5.220228384991854,10.820007543157107,,
1994-02-01,2.060040496522597,2.2715034717302185,2.515723270440251,-26.295317408866513,4.738562091503251,9.346395173946998,,
1994-03-01,2.131958883650098,2.399502283556987,2.6517794836008246,-27.950066348847503,2.5437201907790197,7.387592840452184,,
1994-04-01,1.9817451624680515,2.254367043099448,2.364394993045882,-19.19092254563395,1.9200000000000106,5.593666378543216,,
1994-05-01,1.8140259437739337,2.1371664629262765,2.288488210818307,-10.330992978936827,5.806451612903207,3.552996978942846,,
1994-06-01,2.0273318682598074,2.2656765444923455,2.494802494802495,0.0,6.016260162601639,1.7840591487318536,,
1994-07-01,2.186864283638501,2.267983469916657,2.69896193771626,9.985447218179777,3.2310177705977328,-0.3966678042054861,,
1994-08-01,2.2454959528852125,2.192455046282049,2.900552486187835,2.0600810705758255,9.421487603305788,-1.955817003089022,,
1994-09-01,2.253296623677725,2.1947643979057574,2.965517241379323,-0.30832476875641834,13.793103448275868,-0.6842283059514176,,
1994-10-01,2.104670143152232,2.2649977698483426,2.609890109890123,-2.397354643152372,14.215686274509798,-1.308570275852583,,
1994-11-01,2.106462124052011,2.189689689689689,2.602739726027403,8.389723935565009,16.1904761904762,-1.6311458585744787,,
1994-12-01,2.1492201689393697,2.1789883268482635,2.597402597402576,18.263266712612,13.685847589424572,-2.5597170683021253,,
1995-01-01,2.3214259982419883,2.3508011885917446,2.8708133971291794,19.933333333333316,13.023255813953494,-1.924269094899833,,
1995-02-01,2.265735070013508,2.2972579773599566,2.862985685071595,25.372124492557525,16.068642745709848,-2.293208778155298,,
1995-03-01,2.172043010752689,2.1996685998343146,2.7872195785180187,26.53478854024558,16.434108527131762,-2.3729829627093135,,
1995-04-01,2.321285370603743,2.283256121773647,3.125000000000022,21.30647130647132,16.169544740973297,-1.1491511751878902,,
1995-05-01,2.3308023393819655,2.230017884165658,3.1186440677966054,10.402684563758392,12.804878048780498,-0.19327247630640532,,
1995-06-01,2.1810453041195776,2.0919410852287657,3.0425963488843744,-3.40849501835343,15.18404907975459,0.45165458347287135,,
1995-07-01,1.9864912904372423,2.039614267711354,2.8301886792452713,-11.959287531806606,24.4131455399061,1.685175831787289,,
1995-08-01,1.9734415344891065,2.168677995785795,2.6174496644295386,-1.9042437431991188,17.824773413897276,2.7418397712421383,,
1995-09-01,1.928718203075186,2.148995177397972,2.54521098459477,4.410080183276066,12.987012987012992,1.5576133063372577,,
1995-10-01,2.0216739290362717,2.1575869917812573,2.7443105756358666,-1.5245623941276043,15.021459227467805,3.058447404649356,,
1995-11-01,1.8243691664666217,2.0366515652422423,2.603471295060067,-0.607734806629856,9.016393442622949,4.227348335528314,,
1995-12-01,1.9530092429266954,2.144761179414645,2.5316455696202667,10.955710955710952,6.703146374829005,5.128717905606939,,
1996-01-01,1.9744254168544417,2.0064847851745338,2.7906976744185963,4.94719288493608,5.6241426611796985,6.271777003484313,27.940605590062127,5.806880335326903
1996-02-01,1.9540585374082653,1.9734257967520374,2.717031146454607,2.9141932002158644,4.166666666666652,7.8671328671328755,40.94337579847702,4.761545995630234
1996-03-01,2.0739493439977386,1.95776417656357,2.8439153439153486,15.148247978436657,4.6604527296937315,8.611599297012296,24.00562530013035,5.653869226154762
1996-04-01,2.1104782164499625,1.861587404292031,2.832674571805005,18.6210367388022,9.189189189189184,7.155322862129121,53.83045525902668,3.9795711974110137
1996-05-01,2.1295921076533997,1.86378867193282,2.827087442472065,7.649442755825753,11.351351351351369,6.097560975609739,42.8487193661323,5.006570302233904
1996-06-01,2.028394734270522,1.8541176470588283,2.8215223097112663,11.020629750271427,7.190412782956068,6.423611111111116,53.600897510133194,5.211795115260842
1996-07-01,2.1178996681632034,1.8847408481333927,2.8833551769331667,23.236994219653173,0.8805031446540879,5.719237435008662,31.528130222194694,4.680763173521285
1996-08-01,1.993683654020062,1.72891751817974,2.8122956180510084,21.797004991680534,2.4358974358974494,4.4750430292599175,28.78337454505042,4.284157652749365
1996-09-01,2.211995662208377,1.9018322856760639,3.0045721750489918,31.59626988480526,-1.7879948914431565,2.716468590831922,25.881348242640968,3.1661425297158985
1996-10-01,2.2561812710606866,1.8958800298858103,3.0618892508143203,42.77522935779814,-7.835820895522405,1.6778523489932917,43.66772977674689,4.326322365680979
1996-11-01,2.440681726782312,1.963999999999988,3.2530904359141077,31.79544191217345,-9.147869674185461,0.16666666666667052,32.0493346759283,3.9119433198380626
1996-12-01,2.36266245899599,1.861394048332321,3.378817413905133,33.35084033613447,-8.461538461538453,1.180438448566612,34.94084169537217,8.091500336398294
1997-01-01,2.267642590802388,1.8539699428115508,3.0381383322559907,33.31567796610171,-7.92207792207792,-0.6557377049180357,14.652709297327359,9.894197787332715
1997-02-01,2.321989961943638,1.9299224311975394,3.0322580645161246,16.46565285789199,-8.387096774193548,-1.1345218800648316,13.427561837455837,11.034400095888763
1997-03-01,2.121166297788113,1.9387241260501842,2.7652733118971096,-1.7322097378277168,-7.379134860050884,-2.9126213592232997,21.830795018892136,14.81902058197302
1997-04-01,1.9160921588245783,1.9982796268113612,2.434336963484962,-16.33432329232075,-9.158415841584144,-2.280130293159599,8.370752117563018,10.433788844040247
