;core_pce_l12;energy_l3;fao_Index_l6;ext_gdp_l12;imp_us_l3
1993-04-01;3.421899558416275;2.2587505987587297;-4.3545878693623585;-0.4120565949728354;0.31914893617019935
1993-05-01;3.1548187022900853;5.714394521711541;-3.105590062111807;-0.26982226837913864;0.21276595744681437
1993-06-01;3.01416329445372;10.127441760948908;-4.836193447737902;-0.41850161809016856;0.8519701810436597
1993-07-01;3.0880586167514545;4.956868046938179;-5.401234567901236;-0.5935841392534728;1.7094017094017255
1993-08-01;2.9006301215868335;-1.7031071266292885;-6.849315068493156;-0.592791266328537;1.5957446808510634
1993-09-01;2.6562753215374935;-9.8709066313871;-4.841149773071097;-0.6182477534856599;0.21097046413502962
1993-10-01;2.825390291947194;-11.641303996393004;-3.100775193798455;-0.6073145606211827;-0.8394543546694666
1993-11-01;2.858274764133628;-10.032845399257562;-4.320987654320985;-0.3704240188354907;-1.3584117032392817
1993-12-01;2.795626527714745;-15.371903633373451;-6.249999999999989;-0.15138480500045057;-1.4598540145985495
1994-01-01;2.814310946326648;-15.060095387404992;-3.881987577639767;-0.23727484687634307;-1.759834368530011
1994-02-01;2.732447265369098;-13.92290992823133;-3.6624203821655987;-0.19720459033383597;-1.6666666666666607
1994-03-01;2.6980323821970575;-18.25522992648777;-4.094488188976375;-0.046592827036593044;-0.9533898305084776
1994-04-01;2.660259657553099;-12.585637594257692;-0.4878048780487809;0.028150523773833;-0.8483563096500446
1994-05-01;2.863213273978138;-13.104629641556208;0.9615384615384581;0.14093807377766074;-0.31847133757961776
1994-06-01;2.8811992721180735;-19.67549882320212;5.40983606557377;0.07889131140101835;-0.7391763463569179
1994-07-01;2.7077967857502605;-15.842396454236718;5.220228384991854;-0.13435683195048048;-0.5252100840336116
1994-08-01;2.8044906349274923;-9.78665328302737;4.738562091503251;-0.12176310371035343;0.0
1994-09-01;2.7913318025258205;-2.693152846987823;2.5437201907790197;-0.08159134948379314;1.3684210526315743
1994-10-01;2.56762166180593;4.06026795466512;1.9200000000000106;-0.14750509603035356;2.857142857142869
1994-11-01;2.606239568622404;-2.36970903715773;5.806451612903207;-0.2511538820299504;3.3898305084745672
1994-12-01;2.461875809827574;-3.223168946273891;6.016260162601639;-0.34731780505584015;2.857142857142869
1995-01-01;2.2474621991907417;-1.7813517090622732;3.2310177705977328;-0.3563893345943553;3.161222339304537
1995-02-01;2.2715034717302185;5.0917070722260815;9.421487603305788;-0.46927828575567027;4.343220338983045
1995-03-01;2.399502283556987;11.717174599581437;13.793103448275868;-0.4809976689366742;5.240641711229954
1995-04-01;2.254367043099448;10.284142892545756;14.215686274509798;-0.25415251692551233;5.561497326203213
1995-05-01;2.1371664629262765;11.629620129569407;16.1904761904762;-0.014763178562920077;5.857294994675177
1995-06-01;2.2656765444923455;17.349110764530696;13.685847589424572;-0.18804642820241763;6.276595744680846
1995-07-01;2.267983469916657;17.55965017979544;13.023255813953494;-0.11425324778119642;6.546990496304117
1995-08-01;2.192455046282049;11.1563775826397;16.068642745709848;-0.016974493409878066;6.596858638743464
1995-09-01;2.1947643979057574;3.116644819154968;16.434108527131762;0.051199198438801274;5.295950155763252
1995-10-01;2.2649977698483426;-5.799388079660151;16.169544740973297;0.3544070884747602;4.012345679012341
1995-11-01;2.189689689689689;0.6390536386050361;12.804878048780498;0.4070856450562864;3.2786885245901676
1995-12-01;2.1789883268482635;6.446995326221883;15.18404907975459;0.5325917878383648;3.703703703703698
1996-01-01;2.3508011885917446;2.985459312773764;24.4131455399061;0.5528833612073167;2.5536261491317713
1996-02-01;2.2972579773599566;2.9656378618752255;17.824773413897276;0.5259515954298843;2.131979695431463
1996-03-01;2.1996685998343146;15.088052573654998;12.987012987012992;0.7081254964460886;2.6422764227642226
1996-04-01;2.283256121773647;13.192274234579159;15.021459227467805;0.7554680273385691;2.532928064842954
1996-05-01;2.230017884165658;16.012691831190786;9.016393442622949;0.7474012094115575;1.609657947686105
1996-06-01;2.0919410852287657;16.0556814202226;6.703146374829005;0.534502624024537;1.7017017017016967
1996-07-01;2.039614267711354;10.604626729725975;5.6241426611796985;0.5014642164316856;1.5857284440039532
1996-08-01;2.168677995785795;5.662810730824863;4.166666666666652;0.6097046152440387;0.0
1996-09-01;2.148995177397972;8.890119546503739;4.6604527296937315;0.5387287983964428;-0.6903353057199246
1996-10-01;2.1575869917812573;19.764950894773992;9.189189189189184;0.243347222923413;-0.4945598417408492
1996-11-01;2.0366515652422423;17.847803920929106;11.351351351351369;0.17563189341304838;-0.09920634920634885
1996-12-01;2.144761179414645;23.221121102651555;7.190412782956068;0.13996423210444686;0.9920634920634885
1997-01-01;2.0064847851745338;33.95595612998547;0.8805031446540879;0.04667045968977382;1.9920318725099584
1997-02-01;1.9734257967520374;31.94604108541521;2.4358974358974494;-0.09461815715583123;1.5904572564612307
1997-03-01;1.95776417656357;29.82705724422825;-1.7879948914431565;-0.16475800753565326;1.4851485148514865
1997-04-01;1.861587404292031;23.079710150917208;-7.835820895522405;-0.07602895414745023;0.9881422924901129
1997-05-01;1.86378867193282;1.6944539444465834;-9.147869674185461;-0.12832765827304368;0.1980198019801982
1997-06-01;1.8541176470588283;-4.429830000112956;-8.461538461538453;-0.3266395314136164;-1.5748031496062964
1997-07-01;1.8847408481333927;-10.199773765699138;-7.92207792207792;-0.566729520477563;-3.609756097560979
1997-08-01;1.72891751817974;0.7831053328177351;-8.387096774193548;-0.6199876448361675;-2.946954813359526
1997-09-01;1.9018322856760639;-3.7497728582324252;-7.379134860050884;-0.7211467248338366;-1.8867924528301994
