date,core_cpiUS,energy,food,ext_gdp,imp_us
12/1/1998,2.453271028,-33.5836544,8.119366298,-1.075801997,-6.378600823
1/1/1999,2.331002331,-22.50691512,-5.69216629,-1.179577671,-4.796663191
2/1/1999,2.152414194,-22.30793073,-12.14399554,-1.101806328,-4
3/1/1999,2.032520325,-9.330091943,-15.58765339,-0.829702877,-2.763018066
4/1/1999,2.202898551,3.949526138,-16.36004791,-0.923475763,-1.597444089
5/1/1999,2.082128398,7.062562449,-16.01330999,-0.661446696,-0.640341515
6/1/1999,1.963048499,16.79564714,-16.06006783,-0.792376815,-0.214822771
7/1/1999,2.074927954,28.74250272,-14.98953098,-0.819837212,1.625135428
8/1/1999,1.896551724,45.77197237,-9.269803208,-0.694598095,3.043478261
9/1/1999,2.066590126,44.9722833,-6.809701443,-0.529860048,3.904555315
10/1/1999,2.121559633,52.18727392,-9.920647206,-0.241242571,4.008667389
11/1/1999,2.059496568,67.66887394,-12.62690221,-0.248485294,5.337690632
12/1/1999,1.881413911,92.15401991,-9.558817675,-0.237395988,7.032967033
1/1/2000,2.107061503,91.56373703,-9.487044374,-0.201571248,7.119386637
2/1/2000,2.164009112,111.7441273,-0.808681056,-0.176668155,9.320175439
3/1/2000,2.447353443,92.17110747,4.146896698,0.095692273,9.180327869
4/1/2000,2.268859898,50.76848705,6.629274345,0.152878438,6.601731602
5/1/2000,2.379603399,64.0125694,4.092090746,0.078805089,6.12244898
6/1/2000,2.54813137,76.73163244,3.472031978,0.055880681,7.857911733
7/1/2000,2.48447205,54.42092374,3.189719168,0.087082855,6.823027719
8/1/2000,2.594472645,48.94294637,-1.564178995,0.114032186,5.907172996
9/1/2000,2.530933633,51.49818827,-3.646819994,0.188284516,6.054279749
10/1/2000,2.52667041,48.4457772,-3.654459363,0.211793227,5.416666667
11/1/2000,2.634529148,46.6826445,-0.840869624,0.198714471,4.653567735
12/1/2000,2.574146614,41.58103881,4.456557439,0.07147636,3.18275154
1/1/2001,2.565532627,33.26042408,0.144440749,0.013603361,2.760736196
2/1/2001,2.787068004,15.47169702,-2.836108341,-0.093710581,0.200601805
3/1/2001,2.611111111,7.640752672,-2.241826652,-0.063108337,-1.601601602
4/1/2001,2.662229617,19.49247048,-5.829286931,-0.142796237,-0.710659898
5/1/2001,2.545655783,6.958207015,-2.043718112,-0.137657612,-0.809716599
6/1/2001,2.705687465,-5.75529612,1.159432936,-0.23215556,-2.594810379
7/1/2001,2.699724518,-11.05541552,7.122297897,-0.470608051,-4.091816367
8/1/2001,2.638812534,-13.65752483,9.166139387,-0.854334953,-4.38247012
9/1/2001,2.63302249,-24.54535079,6.451126681,-0.926142031,-5.61023622
10/1/2001,2.628696605,-32.9207944,5.000608953,-1.012609526,-7.411067194
11/1/2001,2.730748225,-40.73322985,1.650203349,-1.099637377,-8.794466403
12/1/2001,2.782324059,-40.90395912,-4.443648299,-1.063295644,-9.054726368
1/1/2002,2.610114192,-40.39228885,1.049110812,-0.937627634,-8.855721393
2/1/2002,2.548806941,-33.34340963,3.301574226,-0.880807586,-8.308308308
3/1/2002,2.436383324,-17.61708395,5.611925658,-0.690326906,-5.595116989
4/1/2002,2.485143166,-13.22230048,5.143118744,-0.674817203,-3.578732106
5/1/2002,2.536427415,-12.59801223,1.382846368,-0.751304483,-3.673469388
6/1/2002,2.258064516,-13.60589059,0.770521459,-0.818899494,-3.586065574
7/1/2002,2.199570815,-1.939421833,1.477837912,-0.833122869,-1.664932362
8/1/2002,2.356722014,-2.053707712,1.119155659,-0.8091414,-1.25
9/1/2002,2.244788883,10.10924357,5.570712743,-0.502536477,-0.417101147
10/1/2002,2.187833511,26.62459439,11.94085142,-0.236422016,1.921024546
11/1/2002,2.02020202,29.78898295,11.97902995,-0.111586826,2.491874323
12/1/2002,1.963906582,46.11702468,14.15268185,0.133367939,4.157549234
1/1/2003,1.960784314,62.33582187,11.47001171,0.159167832,5.786026201
2/1/2003,1.797990481,78.97628424,11.40920818,0.129995104,7.532751092
3/1/2003,1.744186047,36.6301889,5.969774162,0.315547851,6.788793103
4/1/2003,1.47601476,12.25409286,8.151351157,0.528827623,1.802757158
5/1/2003,1.526315789,14.11457299,10.13484729,0.679307732,0.953389831
6/1/2003,1.472134595,24.94066952,10.49340213,0.599514695,2.231668438
7/1/2003,1.522309711,19.04209769,2.458328015,0.644492994,2.328042328
8/1/2003,1.308215594,20.16431508,3.422871112,0.717382004,2.004219409
9/1/2003,1.254573968,5.176812435,12.48165806,0.852801797,0.732984293
10/1/2003,1.305483029,8.832937227,13.33565472,1.832099764,0.837696335
11/1/2003,1.094319958,16.96251657,12.06152666,1.872501218,2.325581395
12/1/2003,1.093180635,14.25940823,9.44786407,2.021032028,2.415966387
1/1/2004,1.143451143,7.149370417,11.23849851,2.250334969,2.167182663
2/1/2004,1.246753247,-8.113601888,11.76303618,2.326207263,0.913705584
3/1/2004,1.558441558,7.752402709,19.03246033,2.213284546,1.109989909
4/1/2004,1.766233766,25.47009959,18.57128363,1.965192152,4.583333333
5/1/2004,1.710730949,33.7462484,19.39559287,1.548558824,6.925498426
6/1/2004,1.865284974,25.1409622,15.12691126,1.146651774,5.717255717
7/1/2004,1.758014478,32.27468119,16.20586648,1.63737585,5.584281282
8/1/2004,1.704545455,36.63905564,9.169273478,1.822215295,7.135470527
9/1/2004,1.961796593,44.04147965,0.475807729,1.806840321,8.212058212
10/1/2004,2.010309278,54.51649991,-4.913167318,1.970447281,9.865005192
11/1/2004,2.216494845,43.09664407,0.759528515,2.255596595,8.987603306
12/1/2004,2.265705458,25.64847258,7.035409645,2.33061927,6.666666667
1/1/2005,2.261048304,27.18069454,4.226216397,1.956521839,5.656565657
2/1/2005,2.308876347,32.63924803,6.718600147,1.964127761,6.136820926
3/1/2005,2.352941176,43.32480776,3.001550903,2.019255754,7.584830339
4/1/2005,2.194997448,41.61514556,-2.015518457,1.957650829,8.366533865
5/1/2005,2.191641182,22.39709176,-2.031179017,1.568480645,5.888125613
6/1/2005,2.034587996,37.14147692,-2.382168758,1.035671376,7.374631268
7/1/2005,2.083333333,38.18261265,0.447917012,0.630475851,8.227228208
8/1/2005,2.133062468,43.86145289,4.144541898,0.611191421,8.204633205
9/1/2005,1.924050633,54.85205335,3.238628659,1.033236605,9.894332373
10/1/2005,2.071753411,35.70277559,3.865218506,1.255908523,8.223062382
11/1/2005,2.118003026,32.46716231,0.123471001,1.11851053,6.44549763
12/1/2005,2.114803625,47.80048549,-3.312611892,0.908604361,7.980769231
1/1/2006,2.110552764,40.06049195,-0.854284702,0.641896076,8.699808795
2/1/2006,2.106318957,31.46230978,-2.049823126,0.787627932,6.91943128
3/1/2006,2.098950525,17.55769512,-3.207944235,0.901992941,4.545454545
4/1/2006,2.297702298,27.26600512,4.005603714,0.797470393,5.790441176
5/1/2006,2.443890274,33.63227043,10.40190951,0.777539402,8.619091752
6/1/2006,2.642073779,21.93077042,12.55982585,0.97471459,7.417582418
7/1/2006,2.68790443,21.40117819,12.13990895,1.181562816,6.968325792
8/1/2006,2.834410741,10.79275946,12.03264558,1.528442353,5.976806423
9/1/2006,2.930948833,-9.251015162,11.19494217,1.709847884,1.573426573
10/1/2006,2.772277228,-11.77713114,11.86067033,1.716053485,-1.048034934
11/1/2006,2.617283951,0.132332072,15.78680879,1.791340549,1.335707925
12/1/2006,2.613412229,-3.54425614,14.1342201,1.847851656,2.49332146
1/1/2007,2.657480315,-11.39788573,14.12463169,1.900958735,0
2/1/2007,2.718565815,-0.630260078,14.32470971,1.869966839,1.15248227
3/1/2007,2.505139501,1.125042005,12.67860278,2.146601025,2.839396628
4/1/2007,2.415527344,-2.152573893,12.77000038,2.359667455,2.085143354
5/1/2007,2.267770204,-1.178015795,4.014811755,2.55311616,1.194539249
6/1/2007,2.181641574,1.969395583,7.045177036,2.359536958,2.301790281
7/1/2007,2.168201648,1.283420154,10.16813535,2.600190681,2.791878173
8/1/2007,2.088491296,-2.382769633,11.81908025,2.770749967,1.936026936
9/1/2007,2.101351351,20.02621215,17.20074949,3.091407321,4.819277108
10/1/2007,2.15655106,34.67374008,20.26650732,3.451555921,9.090909091
11/1/2007,2.338787295,44.07379458,18.87821274,3.460929578,12.03866432
12/1/2007,2.435367612,39.94723828,24.67224137,3.333113369,10.59947871
1/1/2008,2.478906999,57.74695366,25.57603441,2.73949151,13.63236588
2/1/2008,2.297080833,52.39537226,28.77765742,2.659760566,13.49693252
3/1/2008,2.388524387,59.7455764,35.32342359,2.952292492,15.18550475
4/1/2008,2.294669292,61.70235238,30.14410643,3.001879303,16.85106383
