date;CPI;target;v_cpi;IT_reg;pce;core_pce;cpiUS;l1;l3;l6;l12;l18;l24
1991-01-01;22.52;15.0;60.62767475035664;0.0;4.480214404494753;4.150315511882696;5.647058823529405;59.77941176470589;54.63999999999998;44.537114261884895;21.807124239791477;9.89917506874427;12.183235867446385
1991-02-01;22.44;15.0;57.47368421052632;0.0;4.074776570436556;3.931829542614329;5.312500000000009;60.62767475035664;56.10894941634241;44.15156507413509;23.056994818652843;9.96376811594204;12.209302325581394
1991-03-01;22.47;15.0;53.06539509536785;0.0;3.7056016398168135;3.651881908493082;4.821150855365497;57.47368421052632;59.77941176470589;51.34474327628362;25.792630676949436;10.34172661870505;12.536162005785933
1991-04-01;22.77;15.0;49.40944881889764;0.0;3.6770698499448695;3.5495621173370573;4.809930178432875;53.06539509536785;60.62767475035664;54.63999999999998;29.043183742591026;11.408199643493756;13.666987487969195
1991-05-01;23.02;15.0;42.538699690402495;0.0;3.8728913549539223;3.6469279268141808;5.034856700232382;49.40944881889764;57.47368421052632;56.10894941634241;35.7142857142857;14.527629233511586;14.533205004812322
1991-06-01;23.22;15.0;38.626865671641774;0.0;3.5907611715215504;3.4681280113295188;4.695919938414161;42.538699690402495;53.06539509536785;59.77941176470589;39.81636060100166;20.141342756183732;13.770180436847124
1991-07-01;23.27;15.0;34.27582227351416;0.0;3.4979651945337364;3.5207591205011823;4.367816091954024;38.626865671641774;49.40944881889764;60.62767475035664;44.537114261884895;21.807124239791477;9.89917506874427
1991-08-01;23.62;15.0;34.97142857142859;0.0;3.0517059665570834;3.3762500382274574;3.7993920972644313;34.27582227351416;42.538699690402495;57.47368421052632;44.15156507413509;23.056994818652843;9.96376811594204
1991-09-01;23.46;15.0;26.332794830371565;0.0;2.776692046715956;3.4284669419598623;3.396226415094339;34.97142857142859;38.626865671641774;53.06539509536785;51.34474327628362;25.792630676949436;10.34172661870505
1991-10-01;23.48;15.0;21.469218830832926;0.0;2.3831361636637904;3.304479878511768;2.8485757121439192;26.332794830371565;34.27582227351416;49.40944881889764;54.63999999999998;29.043183742591026;11.408199643493756
1991-11-01;23.61;15.0;17.696909272183458;0.0;2.47791457715536;3.3733258505361796;3.0665669409125185;21.469218830832926;34.97142857142859;42.538699690402495;56.10894941634241;35.7142857142857;14.527629233511586
1991-12-01;23.91;7.0;10.032213529682465;0.0;2.6384774077463646;3.483740022114179;2.980625931445613;17.696909272183458;26.332794830371565;38.626865671641774;59.77941176470589;39.81636060100166;20.141342756183732
1992-01-01;24.02;7.0;6.660746003552398;0.0;2.3889730197484527;3.2509419743783186;2.672605790645899;10.032213529682465;21.469218830832926;34.27582227351416;60.62767475035664;44.537114261884895;21.807124239791477
1992-02-01;24.27;7.0;8.155080213903743;0.0;2.596259286144531;3.246509251048346;2.8189910979228294;6.660746003552398;17.696909272183458;34.97142857142859;57.47368421052632;44.15156507413509;23.056994818652843
1992-03-01;24.73;7.0;10.057854917668019;0.0;2.824274243360092;3.2892368610511147;3.189910979228472;8.155080213903743;10.032213529682465;26.332794830371565;53.06539509536785;51.34474327628362;25.792630676949436
1992-04-01;24.92;7.0;9.442248572683365;0.0;2.914701439625156;3.421899558416275;3.1828275351591495;10.057854917668019;6.660746003552398;21.469218830832926;49.40944881889764;54.63999999999998;29.043183742591026
1992-05-01;25.1;7.0;9.035621198957443;0.0;2.624833069826682;3.1548187022900853;3.0235988200590036;9.442248572683365;8.155080213903743;17.696909272183458;42.538699690402495;56.10894941634241;35.7142857142857
1992-06-01;25.3;7.0;8.957795004306647;0.0;2.6342001624346745;3.01416329445372;3.0147058823529305;9.035621198957443;10.057854917668019;10.032213529682465;38.626865671641774;59.77941176470589;39.81636060100166
1992-07-01;25.7;7.0;10.442629995702625;0.0;2.8105875152998783;3.0880586167514545;3.1571218795888534;8.957795004306647;9.442248572683365;6.660746003552398;34.27582227351416;60.62767475035664;44.537114261884895
1992-08-01;25.9;7.0;9.652836579170177;0.0;2.7109951000595434;2.9006301215868335;3.0746705710102518;10.442629995702625;9.035621198957443;8.155080213903743;34.97142857142859;57.47368421052632;44.15156507413509
1992-09-01;26.08;7.0;11.16794543904518;0.0;2.525214110774776;2.6562753215374935;2.9927007299270114;9.652836579170177;8.957795004306647;10.057854917668019;26.332794830371565;53.06539509536785;51.34474327628362
1992-10-01;26.2;7.0;11.584327086882439;0.0;2.695110841178261;2.825390291947194;3.279883381924198;11.16794543904518;10.442629995702625;9.442248572683365;21.469218830832926;49.40944881889764;54.63999999999998
1992-11-01;26.72;7.0;13.172384582803897;0.0;2.6710097719869763;2.858274764133628;3.1204644412191396;11.584327086882439;9.652836579170177;9.035621198957443;17.696909272183458;42.538699690402495;56.10894941634241
1992-12-01;27.31;7.0;14.219991635299035;0.0;2.59332023575638;2.795626527714745;2.966714905933454;13.172384582803897;11.16794543904518;8.957795004306647;10.032213529682465;38.626865671641774;59.77941176470589
1993-01-01;27.44;7.0;14.23813488759369;0.0;2.7044974343495287;2.814310946326648;3.2537960954446943;14.219991635299035;11.584327086882439;10.442629995702625;6.660746003552398;34.27582227351416;60.62767475035664
1993-02-01;27.5;7.0;13.308611454470531;0.0;2.5983019208767333;2.732447265369098;3.2467532467532534;14.23813488759369;13.172384582803897;9.652836579170177;8.155080213903743;34.97142857142859;57.47368421052632
1993-03-01;27.7;7.0;12.009704811969257;0.0;2.560482962651478;2.6980323821970575;3.0194104960460155;13.308611454470531;14.219991635299035;11.16794543904518;10.057854917668019;26.332794830371565;53.06539509536785
