"","V1"
"1",3.6564824358394
"2",9.40620938185077
"3",8.50062457549168
"4",7.23610656632784
"5",7.92812363952943
"6",7.76174268049636
"7",9.55162289983384
"8",10.3953031094996
"9",9.82886129366894
"10",8.57201032452365
"11",8.69819996217385
"12",7.96830422284886
"13",6.88043728753759
"14",8.70692583300774
"15",9.49307403826038
"16",9.32190870938065
"17",9.09577358515113
"18",9.32938021264095
"19",7.01555324389951
"20",5.01507866416713
"21",5.96968866541862
"22",7.19902513221905
"23",7.52507719233236
"24",7.62846109196849
"25",6.84763996611754
"26",4.61480318978875
"27",3.27508476336682
"28",3.20158246447057
"29",2.75467584259962
"30",3.47102524007091
"31",4.46016458598882
"32",4.21120976341074
"33",3.61374493099502
"34",3.4714120792643
"35",4.00882906516588
"36",3.92110931098418
"37",3.93882645066997
"38",5.0414431864035
"39",6.10450370035596
"40",6.73603520721269
"41",7.16097109748167
"42",6.26625185191848
"43",5.61039983010162
"44",6.82316077082546
"45",7.24852873940724
"46",6.9929637128467
"47",5.92509682366291
"48",5.71080491868479
"49",6.10810597259375
"50",6.07045572006376
"51",7.8912161482522
"52",6.73443014330129
"53",5.44485011273028
"54",4.90536927857841
"55",4.27457304362485
"56",3.32960359943173
"57",3.3991178997641
"58",3.68629722112988
"59",3.79809871186696
"60",3.02287492918308
"61",2.51957816509392
"62",2.67668091339833
"63",1.00058291849399
"64",1.57680205917966
"65",2.31970514355781
"66",2.71163103407287
"67",2.82038851408154
"68",2.67734234340441
"69",1.75998174253024
"70",1.04934101575074
"71",0.714821195322155
"72",2.74361276590896
"73",2.84817857194282
"74",1.73005885376587
"75",0.820127682335178
"76",0.875949097075758
"77",1.27810947222632
"78",1.09338945803257
"79",0.748361367289964
"80",0.840683666415664
"81",1.50094680604614
"82",2.21225929810663
"83",2.93519483708993
"84",0.797309361403654
"85",0.687700999151488
"86",0.888412022637089
"87",2.04207865947427
"88",3.5934356881893
"89",4.37873957766183
"90",2.74820748002705
"91",2.62411831249606
"92",1.61279569519656
"93",0.632345025144796
"94",0.713446971067319
"95",0.991688857804325
"96",0.756973833018792
"97",0.773090415852636
"98",1.52782783332228
"99",1.46831123979567
"100",1.00317480736884
"101",0.669608446950073
"102",1.52685973302674
"103",1.74671275136941
"104",2.36941945631569
"105",4.11130329362731
"106",4.30822460402022
"107",4.75428593121808
"108",4.78790178402941
"109",4.22070019047334
"110",4.17819357806461
"111",4.33526286900098
"112",4.43273910850068
"113",4.55722654996965
"114",4.62055021875978
"115",4.44690789117015
"116",4.4063244814517
"117",3.09847054299476
"118",2.49182834690166
"119",2.04037371016803
"120",1.80138704493803
"121",1.76751514007585
"122",1.6450107029901
"123",1.47370361298987
"124",1.29127087507236
"125",1.19269310156047
"126",1.10651864030179
"127",0.867550175219253
"128",0.626923753057213
"129",0.707944623370326
"130",1.20767462392779
"131",1.33637870832413
"132",1.32809008635074
"133",1.35788154877397
"134",1.67529431849043
"135",1.72542173358754
"136",1.99848300786716
"137",2.07693552798617
"138",2.65222484227396
"139",2.77078247048431
"140",3.01248931480509
"141",3.00674624199671
"142",3.38799729533787
"143",3.96489508123917
"144",4.53764903666842
"145",4.5313505187276
"146",4.35152295478543
"147",4.34651328280414
"148",4.07823321529683
"149",4.19555568252776
"150",3.84947160477945
"151",4.13502563599687
"152",4.59685817001884
"153",4.6864396508585
"154",4.74385948843031
"155",5.55940002747847
"156",4.55168109961178
"157",3.90396536026351
"158",3.42484173602021
"159",2.64294766567258
"160",2.66427257944857
"161",2.85910552988524
"162",2.99519836779491
"163",2.92089412071756
"164",2.4406095767583
"165",2.39065474228092
"166",1.22601932115711
"167",0.985839659610079
"168",0.66422654329004
"169",1.2991651015578
"170",1.68238524047294
"171",2.0454744011142
"172",2.4313624965201
"173",1.84658088950879
"174",1.03066819128383
"175",0.91156665671539
"176",1.12689181122006
"177",1.67299782849747
"178",2.70433683450389
"179",3.08255309141936
"180",4.442066705914
"181",4.06387132909246
"182",3.72869041931206
"183",4.09207402481943
"184",4.40739420629145
"185",5.63630193891493
"186",7.45213382144475
"187",8.7478399123952
"188",9.32168820207956
"189",8.85902382166914
"190",7.96161155260552
"191",8.1262633684915
"192",6.09787821116925
"193",4.70746884911116
"194",3.23580033630357
"195",1.93378460608833
"196",0.722001138405757
"197",1.16229101149223
"198",2.36566138839487
"199",3.96453827607072
"200",4.85998806594706
"201",5.26584612445527
"202",4.53303116019096
"203",5.19234619430625
"204",5.15167924533419
"205",4.83822904738768
"206",3.18084254692333
"207",2.18577432715728
"208",0.927999112748081
"209",1.05885839545862
"210",1.25419454516691
"211",0.830954831893165
"212",0.799359980213634
"213",0.814256145324123
"214",1.05806935036084
"215",0.639032307526201
"216",0.876937371959101
"217",0.977315939384273
"218",0.680747333728364
"219",0.86005489975316
"220",0.72317865560167
"221",1.27145099998297
"222",1.83380267865871
"223",1.86070045373149
"224",2.43690753131169
"225",2.99373991828111
"226",2.63529311935283
"227",2.0681834870119
"228",1.52758217487679
"229",1.65788995663507
"230",1.00694650883561
"231",0.819021029139972
"232",0.631902412578511
"233",0.715690341939262
"234",0.950560524542347
"235",1.29070121391874
"236",1.83668590219504
"237",1.9743656356499
"238",1.45809033242933
"239",1.39890463818222
"240",1.60626171625989
"241",1.31361078657368
"242",0.979969461326926
"243",0.762195074288171
"244",0.687684745579581
"245",0.795233284477938
"246",0.717665152791805
"247",0.647140654130138
"248",0.636074866690024
"249",0.660436034978537
"250",0.747868952269713
"251",0.779100483781873
"252",0.626690150306697
"253",0.669434648132564
"254",0.787876322973521
"255",1.26435724223145
"256",1.48849110146641
"257",1.46966999546505
"258",1.5089525222449
"259",1.59000017805182
"260",1.34152763492296
"261",1.10239861587437
"262",1.30882148355791
"263",1.1531114036713
"264",1.37419996815327
"265",1.75736706690943
"266",2.33778449196984
"267",2.22801151004666
"268",2.2412801016618
"269",2.10010301552036
"270",2.12157848475011
"271",2.27885580488284
"272",2.33977905066905
"273",2.67822682358952
"274",2.75986516778387
"275",2.42519894282543
"276",2.15906449164144
"277",1.64939282133147
"278",0.672802688172559
"279",0.717430156274395
"280",0.721763652044525
"281",0.819768142483799
"282",0.680594486102
"283",0.655185366861924
"284",0.626759561969542
"285",0.636171370733256
"286",0.630372835985721
"287",0.639712909094622
"288",0.628097561481389
"289",0.736421624647429
"290",1.00216304677332
"291",0.906521210174019
"292",0.878272771708652
"293",0.818868828386059
"294",0.924169808442154
"295",0.677467093969196
"296",0.852074503995028
"297",0.632606907857105
"298",0.679323800859577
"299",0.751756062153644
"300",0.629725243402577
"301",1.2005363569916
"302",0.632247743921785
"303",0.781097553487025
"304",0.78698701211143
"305",0.933249958253475
"306",0.820253027142221
"307",1.03092498190103
"308",2.07290241921421
"309",1.38395144308868
"310",0.631108715584685
"311",0.68805060744804
"312",1.57554992547804
"313",2.34665844373262
"314",0.808818125243481
"315",0.648297258964607
"316",0.76959618543723
"317",0.63838725431807
"318",0.633015703425485
"319",0.648704017128598
"320",0.67572636039538
"321",1.69766315799034
"322",2.82840271143238
"323",2.48178738425961
"324",1.78162335334319
