;core_pce;pce;cpiUS;gpenergy;pet_wti;food_imf;fao_Index;IGREA;USPHCI;GEPUI
1993-01-01;2.814310946326648;2.7044974343495287;3.2537960954446943;2.2587505987587297;1.3549415515409002;-2.526322103474743;-5.401234567901236;-0.23727484687634307;0.025046670815183525;
1993-02-01;2.732447265369098;2.5983019208767333;3.2467532467532534;5.714394521711541;5.569886812319025;-3.016986252304532;-6.849315068493156;-0.19720459033383597;0.028771384136858646;
1993-03-01;2.6980323821970575;2.560482962651478;3.0194104960460155;10.127441760948908;7.56502431803765;0.614147540475174;-4.841149773071097;-0.046592827036593044;0.028247710693776185;
1993-04-01;2.660259657553099;2.555077955338536;3.1563845050215145;4.956868046938179;0.13337943980635814;4.504584550868107;-3.100775193798455;0.028150523773833;0.02849620566826716;
1993-05-01;2.863213273978138;2.7371853358661102;3.2211882605583497;-1.7031071266292885;-4.775549188156636;3.4130748514556553;-4.320987654320985;0.14093807377766074;0.030162412993039345;
1993-06-01;2.8811992721180735;2.590480172001919;2.9978586723768963;-9.8709066313871;-14.77094972067039;3.0349750641808892;-6.249999999999989;0.07889131140101835;0.0318146718146719;
1993-07-01;2.7077967857502605;2.4152863967141336;2.8469750889679624;-11.641303996393004;-17.89144721724344;2.6480397103658015;-3.881987577639767;-0.13435683195048048;0.03281972265023114;
1993-08-01;2.8044906349274923;2.4536686135508967;2.840909090909083;-10.032845399257562;-15.648711943793913;-2.0117408411594706;-3.6624203821655987;-0.12176310371035343;0.03319502074688807;
1993-09-01;2.7913318025258205;2.3932816000712176;2.7639971651311157;-15.371903633373451;-20.03470002739477;-2.0974506230893253;-4.094488188976375;-0.08159134948379314;0.03498542274052485;
1993-10-01;2.56762166180593;2.3538108967250615;2.752293577981657;-15.060095387404992;-16.33622279601623;1.054648445734374;-0.4878048780487809;-0.14750509603035356;0.03363914373088672;
1993-11-01;2.606239568622404;2.3462401133278243;2.7445460942997935;-13.92290992823133;-17.90876020057024;4.180322286187055;0.9615384615384581;-0.2511538820299504;0.03634142617193481;
1993-12-01;2.461875809827574;2.191909966708905;2.8109627547435068;-18.25522992648777;-25.233163291595815;8.323044536595138;5.40983606557377;-0.34731780505584015;0.037454323995127714;
1994-01-01;2.2474621991907417;1.9764297889848903;2.450980392156854;-12.585637594257692;-21.363040629095675;8.073549043767937;5.220228384991854;-0.3563893345943553;0.03687964789801179;
1994-02-01;2.2715034717302185;2.060040496522597;2.515723270440251;-13.104629641556208;-26.295317408866513;9.610901898328184;4.738562091503251;-0.46927828575567027;0.035978835978836;
1994-03-01;2.399502283556987;2.131958883650098;2.6517794836008246;-19.67549882320212;-27.950066348847503;5.024402754435697;2.5437201907790197;-0.4809976689366742;0.03894339622641496;
1994-04-01;2.254367043099448;1.9817451624680515;2.364394993045882;-15.842396454236718;-19.19092254563395;2.929893785765647;1.9200000000000106;-0.25415251692551233;0.04050594789941275;
1994-05-01;2.1371664629262765;1.8140259437739337;2.288488210818307;-9.78665328302737;-10.330992978936827;0.8709543967229783;5.806451612903207;-0.014763178562920077;0.042342342342342354;
1994-06-01;2.2656765444923455;2.0273318682598074;2.494802494802495;-2.693152846987823;0.0;0.7608755453021754;6.016260162601639;-0.18804642820241763;0.04295764107169586;
1994-07-01;2.267983469916657;2.186864283638501;2.69896193771626;4.06026795466512;9.985447218179777;-1.42358160751479;3.2310177705977328;-0.11425324778119642;0.04356258391764878;
1994-08-01;2.192455046282049;2.2454959528852125;2.900552486187835;-2.36970903715773;2.0600810705758255;0.21176474987061322;9.421487603305788;-0.016974493409878066;0.04462293618920121;
1994-09-01;2.1947643979057574;2.253296623677725;2.965517241379323;-3.223168946273891;-0.30832476875641834;1.9629621503491679;13.793103448275868;0.051199198438801274;0.04521868050407707;
1994-10-01;2.2649977698483426;2.104670143152232;2.609890109890123;-1.7813517090622732;-2.397354643152372;2.7170477857182407;14.215686274509798;0.3544070884747602;0.0463017751479291;
1994-11-01;2.189689689689689;2.106462124052011;2.602739726027403;5.0917070722260815;8.389723935565009;0.9534672533286548;16.1904761904762;0.4070856450562864;0.04685428024163829;
1994-12-01;2.1789883268482635;2.1492201689393697;2.597402597402576;11.717174599581437;18.263266712612;1.6879272995939054;13.685847589424572;0.5325917878383648;0.04666862342236566;
1995-01-01;2.3508011885917446;2.3214259982419883;2.8708133971291794;10.284142892545756;19.933333333333316;-1.0977311418045144;13.023255813953494;0.5528833612073167;0.04742388758782212;
1995-02-01;2.2972579773599566;2.265735070013508;2.862985685071595;11.629620129569407;25.372124492557525;-1.2260530849718565;16.068642745709848;0.5259515954298843;0.0480081716036771;
1995-03-01;2.1996685998343146;2.172043010752689;2.7872195785180187;17.349110764530696;26.53478854024558;0.0008746526936054266;16.434108527131762;0.7081254964460886;0.046636640999564216;
1995-04-01;2.283256121773647;2.321285370603743;3.125000000000022;17.55965017979544;21.30647130647132;-0.9159159189929489;16.169544740973297;0.7554680273385691;0.0437047756874096;
1995-05-01;2.230017884165658;2.3308023393819655;3.1186440677966054;11.1563775826397;10.402684563758392;-0.9232476252525657;12.804878048780498;0.7474012094115575;0.04177470469605282;
1995-06-01;2.0919410852287657;2.1810453041195776;3.0425963488843744;3.116644819154968;-3.40849501835343;3.7098935541521216;15.18404907975459;0.534502624024537;0.0403272101033294;
1995-07-01;2.039614267711354;1.9864912904372423;2.8301886792452713;-5.799388079660151;-11.959287531806606;9.923326055495219;24.4131455399061;0.5014642164316856;0.03817012151536825;
